interaction_id,customer_id,customer_name,interaction_date,interaction_type,purpose,summary,initiated_by,handled_by,rep_id,related_invoice,outcome,notes
INT0000052,CUST000006,Wipro Tech Limited,2024-11-29,Video Call,Collection Call,Customer disputed invoice amount,Company,Rakesh Mishra,REP000028,INV0000051,Resolved,
INT0000053,CUST000006,Wipro Tech Limited,2025-03-13,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Priya Gupta,REP000011,INV0000051,Pending,
INT0000054,CUST000006,Wipro Tech Limited,2025-03-17,Site Visit,Dispute Resolution,Clarified invoice line items,Company,Rakesh Mishra,REP000028,INV0000051,Follow-up Required,
INT0000055,CUST000006,Wipro Tech Limited,2024-10-27,Web Portal,Collection Call,Customer disputed invoice amount,Company,Sunil Mishra,REP000024,INV0000051,Resolved,
INT0000061,CUST000007,Mahindra Tech Limited,2024-10-31,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Sanjay Gupta,REP000007,INV0000063,Follow-up Required,
INT0000062,CUST000007,Mahindra Tech Limited,2024-12-28,Call,Collection Call,Customer promised payment by next week,Company,Kavita Gupta,REP000018,INV0000063,Resolved,
INT0000063,CUST000007,Mahindra Tech Limited,2025-01-19,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Anil Mishra,REP000025,INV0000063,Pending,
INT0000071,CUST000008,Birla Tech Limited,2024-11-25,Video Call,Collection Call,Customer confirmed payment has been initiated,Company,Priya Mishra,REP000031,INV0000071,Follow-up Required,
INT0000072,CUST000008,Birla Tech Limited,2025-03-09,Meeting,Collection Call,Arranged payment schedule for overdue amounts,Company,Rakesh Joshi,REP000048,INV0000071,Resolved,
INT0000073,CUST000008,Birla Tech Limited,2024-11-03,Meeting,Dispute Resolution,Clarified invoice line items,Company,Sunil Gupta,REP000004,INV0000072,Pending,
INT0000081,CUST000009,Adani Tech Limited,2024-11-27,Email,Account Review,Quarterly account review meeting,Company,Geeta Gupta,REP000020,,Follow-up Required,
INT0000082,CUST000009,Adani Tech Limited,2025-02-27,Email,Collection Call,Customer promised payment by next week,Company,Kavita Gupta,REP000018,INV0000082,Resolved,
INT0000083,CUST000009,Adani Tech Limited,2025-02-12,Email,Payment Confirmation,Updated records with new payment details,Company,Rajesh Joshi,REP000049,INV0000084,Pending,
INT0000084,CUST000009,Adani Tech Limited,2024-12-22,Site Visit,Collection Call,Customer disputed invoice amount,Company,Amit Joshi,REP000042,INV0000084,Follow-up Required,
INT0000085,CUST000009,Adani Tech Limited,2025-01-19,Meeting,Account Review,Updated customer contact information,Company,Raj Joshi,REP000041,,Resolved,
INT0000086,CUST000009,Adani Tech Limited,2025-02-09,Site Visit,Payment Confirmation,Received confirmation of payment transfer,Customer,Amit Gupta,REP000002,INV0000084,Pending,
INT0000087,CUST000009,Adani Tech Limited,2024-10-07,Call,Account Review,Negotiated new payment terms,Company,Neha Gupta,REP000012,,Follow-up Required,
INT0000091,CUST000010,JSW Tech Limited,2025-03-17,Meeting,General Inquiry,Answered questions about payment methods,Company,Sanjay Mishra,REP000027,,Follow-up Required,
INT0000092,CUST000010,JSW Tech Limited,2024-12-30,Web Portal,Collection Call,Explained late payment fees and implications,Company,Rahul Gupta,REP000006,INV0000091,Resolved,
INT0000093,CUST000010,JSW Tech Limited,2025-03-27,Chat,Collection Call,Explained late payment fees and implications,Company,Anil Gupta,REP000005,INV0000091,Pending,
INT0000094,CUST000010,JSW Tech Limited,2024-10-18,Web Portal,Collection Call,Customer promised payment by next week,Company,Rajesh Joshi,REP000049,INV0000091,Follow-up Required,
INT0000095,CUST000010,JSW Tech Limited,2025-02-05,Chat,Collection Call,Escalated to manager due to payment delays,Company,Rahul Mishra,REP000026,INV0000091,Resolved,
INT0000101,CUST000011,Godrej Tech Limited,2024-11-14,Call,Dispute Resolution,Processing refund for returned items,Company,Ashok Joshi,REP000050,INV0000101,Follow-up Required,
INT0000102,CUST000011,Godrej Tech Limited,2024-12-03,Video Call,Collection Call,Customer disputed invoice amount,Company,Vijay Mishra,REP000023,INV0000105,Resolved,
INT0000103,CUST000011,Godrej Tech Limited,2025-03-07,Chat,Collection Call,Explained late payment fees and implications,Company,Anita Gupta,REP000016,INV0000105,Pending,
INT0000104,CUST000011,Godrej Tech Limited,2024-12-18,Email,Collection Call,Explained late payment fees and implications,Company,Priya Gupta,REP000011,INV0000105,Follow-up Required,
INT0000105,CUST000011,Godrej Tech Limited,2025-03-26,Meeting,Collection Call,Customer disputed invoice amount,Company,Vijay Mishra,REP000023,INV0000106,Resolved,
INT0000106,CUST000011,Godrej Tech Limited,2024-10-08,Meeting,Collection Call,Left voicemail regarding overdue payment,Company,Rakesh Mishra,REP000028,INV0000105,Pending,
INT0000107,CUST000011,Godrej Tech Limited,2024-11-18,Chat,Payment Confirmation,Received confirmation of payment transfer,Company,Neha Mishra,REP000032,INV0000104,Follow-up Required,
INT0000108,CUST000011,Godrej Tech Limited,2025-02-07,Site Visit,Account Review,Quarterly account review meeting,Company,Rakesh Mishra,REP000028,,Resolved,
INT0000111,CUST000012,L&T Tech Limited,2024-10-17,Web Portal,General Inquiry,Shared payment history report,Company,Vijay Mishra,REP000023,,Follow-up Required,
INT0000112,CUST000012,L&T Tech Limited,2025-03-15,Email,Dispute Resolution,Discussed quality issues with recent shipment,Customer,Kavita Mishra,REP000038,INV0000114,Resolved,
INT0000121,CUST000013,ICICI Tech Limited,2024-11-15,Site Visit,General Inquiry,Explained invoice details,Customer,Sanjay Gupta,REP000007,,Follow-up Required,
INT0000122,CUST000013,ICICI Tech Limited,2025-01-07,Meeting,Collection Call,Customer disputed invoice amount,Company,Amit Gupta,REP000002,INV0000121,Resolved,
INT0000123,CUST000013,ICICI Tech Limited,2024-11-27,Email,Account Review,Addressed concerns about recent shipments,Company,Geeta Gupta,REP000020,,Pending,
INT0000124,CUST000013,ICICI Tech Limited,2024-10-12,Chat,Collection Call,Explained late payment fees and implications,Company,Anil Mishra,REP000025,INV0000121,Follow-up Required,
INT0000125,CUST000013,ICICI Tech Limited,2024-12-31,Web Portal,Dispute Resolution,Customer reported incorrect billing,Company,Sunil Gupta,REP000004,INV0000124,Resolved,
INT0000126,CUST000013,ICICI Tech Limited,2024-12-14,Video Call,Dispute Resolution,Resolved shipping discrepancy,Customer,Kavita Gupta,REP000018,INV0000121,Pending,
INT0000127,CUST000013,ICICI Tech Limited,2024-10-11,Chat,Collection Call,Discussed payment of overdue invoices,Company,Rakesh Gupta,REP000008,INV0000126,Follow-up Required,
INT0000128,CUST000013,ICICI Tech Limited,2024-12-14,Meeting,Collection Call,Customer disputed invoice amount,Company,Sanjay Gupta,REP000007,INV0000121,Resolved,
INT0000129,CUST000013,ICICI Tech Limited,2024-12-20,Web Portal,Collection Call,Customer confirmed payment has been initiated,Company,Raj Mishra,REP000021,INV0000121,Pending,
INT0000131,CUST000014,SBI Tech Limited,2025-01-14,Site Visit,Payment Confirmation,Verified payment receipt for invoice,Company,Anil Mishra,REP000025,INV0000134,Follow-up Required,
INT0000132,CUST000014,SBI Tech Limited,2025-01-09,Web Portal,Collection Call,Explained late payment fees and implications,Company,Sanjay Joshi,REP000047,INV0000134,Resolved,
INT0000133,CUST000014,SBI Tech Limited,2024-10-15,Email,Collection Call,Customer disputed invoice amount,Company,Kavita Mishra,REP000038,INV0000134,Pending,
INT0000134,CUST000014,SBI Tech Limited,2024-12-09,Email,Collection Call,Left voicemail regarding overdue payment,Company,Ashok Joshi,REP000050,INV0000133,Follow-up Required,
INT0000135,CUST000014,SBI Tech Limited,2025-02-01,Email,Collection Call,Customer confirmed payment has been initiated,Company,Anil Gupta,REP000005,INV0000134,Resolved,
INT0000136,CUST000014,SBI Tech Limited,2025-03-06,Web Portal,Collection Call,Discussed payment of overdue invoices,Company,Ashok Mishra,REP000030,INV0000133,Pending,
INT0000141,CUST000015,TCS Tech Limited,2025-03-08,Video Call,Collection Call,Left voicemail regarding overdue payment,Company,Anil Mishra,REP000025,INV0000142,Follow-up Required,
INT0000142,CUST000015,TCS Tech Limited,2025-03-04,Site Visit,Collection Call,Customer promised payment by next week,Company,Raj Gupta,REP000001,INV0000141,Resolved,
INT0000143,CUST000015,TCS Tech Limited,2025-02-23,Web Portal,Dispute Resolution,Clarified invoice line items,Customer,Rahul Gupta,REP000006,INV0000145,Pending,
INT0000144,CUST000015,TCS Tech Limited,2025-03-22,Video Call,Payment Confirmation,Confirmed check has been processed,Company,Vijay Gupta,REP000003,INV0000143,Follow-up Required,
INT0000145,CUST000015,TCS Tech Limited,2024-12-21,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Sunil Joshi,REP000044,INV0000142,Resolved,
INT0000151,CUST000016,Bajaj Tech Limited,2024-12-14,Email,Dispute Resolution,Processing refund for returned items,Company,Vijay Gupta,REP000003,INV0000153,Follow-up Required,
INT0000152,CUST000016,Bajaj Tech Limited,2024-10-01,Email,Collection Call,Discussed payment of overdue invoices,Company,Neha Mishra,REP000032,INV0000154,Resolved,
INT0000153,CUST000016,Bajaj Tech Limited,2024-12-02,Web Portal,Collection Call,Arranged payment schedule for overdue amounts,Company,Priya Mishra,REP000031,INV0000155,Pending,
INT0000154,CUST000016,Bajaj Tech Limited,2024-10-19,Video Call,Dispute Resolution,Resolved shipping discrepancy,Customer,Sunita Mishra,REP000035,INV0000151,Follow-up Required,
INT0000155,CUST000016,Bajaj Tech Limited,2025-02-27,Call,Collection Call,Customer promised payment by next week,Company,Rahul Mishra,REP000026,INV0000152,Resolved,
INT0000156,CUST000016,Bajaj Tech Limited,2025-03-23,Video Call,Collection Call,Explained late payment fees and implications,Company,Rakesh Joshi,REP000048,INV0000158,Pending,
INT0000157,CUST000016,Bajaj Tech Limited,2024-10-11,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Meena Mishra,REP000037,INV0000153,Follow-up Required,
INT0000158,CUST000016,Bajaj Tech Limited,2024-11-21,Meeting,Collection Call,Customer promised payment by next week,Company,Anil Joshi,REP000045,INV0000153,Resolved,
INT0000159,CUST000016,Bajaj Tech Limited,2025-03-12,Meeting,Collection Call,Customer promised payment by next week,Company,Raj Gupta,REP000001,INV0000153,Pending,
INT0000160,CUST000016,Bajaj Tech Limited,2025-02-11,Video Call,General Inquiry,Explained invoice details,Company,Meena Mishra,REP000037,,Follow-up Required,
INT0000161,CUST000016,Bajaj Tech Limited,2025-03-06,Meeting,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Pooja Gupta,REP000013,INV0000156,Resolved,
INT0000162,CUST000016,Bajaj Tech Limited,2025-01-11,Chat,Collection Call,Escalated to manager due to payment delays,Company,Anita Gupta,REP000016,INV0000154,Pending,
INT0000161,CUST000017,HCL Tech Limited,2024-12-09,Meeting,Collection Call,Left voicemail regarding overdue payment,Company,Pooja Gupta,REP000013,INV0000164,Follow-up Required,
INT0000162,CUST000017,HCL Tech Limited,2025-03-01,Chat,Collection Call,Discussed payment of overdue invoices,Company,Rani Gupta,REP000014,INV0000164,Resolved,
INT0000163,CUST000017,HCL Tech Limited,2025-01-17,Video Call,Collection Call,Customer disputed invoice amount,Company,Raj Joshi,REP000041,INV0000164,Pending,
INT0000164,CUST000017,HCL Tech Limited,2025-02-02,Video Call,Payment Confirmation,Updated records with new payment details,Company,Priya Mishra,REP000031,INV0000162,Follow-up Required,
INT0000165,CUST000017,HCL Tech Limited,2025-04-02,Meeting,Collection Call,Left voicemail regarding overdue payment,Company,Anita Mishra,REP000036,INV0000164,Resolved,
INT0000171,CUST000018,Hindustan Tech Limited,2024-10-25,Meeting,Payment Confirmation,Reconciled payment with outstanding invoices,Company,Anil Gupta,REP000005,INV0000172,Follow-up Required,
INT0000172,CUST000018,Hindustan Tech Limited,2025-03-31,Site Visit,Collection Call,Discussed payment of overdue invoices,Company,Priya Gupta,REP000011,INV0000178,Resolved,
INT0000173,CUST000018,Hindustan Tech Limited,2024-10-13,Email,Collection Call,Discussed payment of overdue invoices,Company,Anita Mishra,REP000036,INV0000178,Pending,
INT0000174,CUST000018,Hindustan Tech Limited,2024-11-17,Web Portal,General Inquiry,Answered questions about payment methods,Customer,Ashok Gupta,REP000010,,Follow-up Required,
INT0000175,CUST000018,Hindustan Tech Limited,2025-04-06,Chat,Collection Call,Left voicemail regarding overdue payment,Company,Priya Gupta,REP000011,INV0000176,Resolved,
INT0000176,CUST000018,Hindustan Tech Limited,2024-12-26,Chat,Collection Call,Explained late payment fees and implications,Company,Ashok Joshi,REP000050,INV0000178,Pending,
INT0000181,CUST000019,Indian Tech Limited,2025-02-25,Video Call,General Inquiry,Answered questions about payment methods,Customer,Kavita Mishra,REP000038,,Follow-up Required,
INT0000182,CUST000019,Indian Tech Limited,2024-10-09,Call,General Inquiry,Responded to statement request,Company,Vijay Mishra,REP000023,,Resolved,
INT0000183,CUST000019,Indian Tech Limited,2025-03-25,Site Visit,General Inquiry,Responded to statement request,Customer,Sunita Mishra,REP000035,,Pending,
INT0000184,CUST000019,Indian Tech Limited,2025-03-16,Web Portal,Collection Call,Left voicemail regarding overdue payment,Company,Geeta Gupta,REP000020,INV0000181,Follow-up Required,
INT0000185,CUST000019,Indian Tech Limited,2024-12-29,Call,Collection Call,Left voicemail regarding overdue payment,Company,Anita Gupta,REP000016,INV0000184,Resolved,
INT0000186,CUST000019,Indian Tech Limited,2024-11-24,Call,Collection Call,Left voicemail regarding overdue payment,Company,Priya Gupta,REP000011,INV0000184,Pending,
INT0000187,CUST000019,Indian Tech Limited,2024-12-23,Chat,Collection Call,Explained late payment fees and implications,Company,Neha Mishra,REP000032,INV0000181,Follow-up Required,
INT0000188,CUST000019,Indian Tech Limited,2025-03-19,Chat,Collection Call,Customer disputed invoice amount,Company,Sanjay Mishra,REP000027,INV0000184,Resolved,
INT0000189,CUST000019,Indian Tech Limited,2024-10-15,Video Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Kavita Mishra,REP000038,INV0000185,Pending,
INT0000191,CUST000020,Tech Tech Limited,2025-02-03,Email,Dispute Resolution,Customer reported incorrect billing,Company,Sanjay Mishra,REP000027,INV0000198,Follow-up Required,
INT0000201,CUST000021,Tata Info Limited,2025-01-13,Site Visit,Collection Call,Customer promised payment by next week,Company,Rani Mishra,REP000034,INV0000206,Follow-up Required,
INT0000202,CUST000021,Tata Info Limited,2024-12-02,Call,Collection Call,Escalated to manager due to payment delays,Company,Rajesh Joshi,REP000049,INV0000206,Resolved,
INT0000203,CUST000021,Tata Info Limited,2024-10-15,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Rajesh Joshi,REP000049,INV0000206,Pending,
INT0000211,CUST000022,Reliance Info Limited,2025-04-05,Site Visit,Payment Confirmation,Updated records with new payment details,Customer,Sanjay Joshi,REP000047,INV0000211,Follow-up Required,
INT0000212,CUST000022,Reliance Info Limited,2024-11-29,Site Visit,Payment Confirmation,Resolved payment allocation discrepancy,Company,Kavita Gupta,REP000018,INV0000211,Resolved,
INT0000213,CUST000022,Reliance Info Limited,2024-10-12,Email,General Inquiry,Explained invoice details,Company,Raj Gupta,REP000001,,Pending,
INT0000221,CUST000023,Infosys Info Limited,2024-10-30,Email,Collection Call,Escalated to manager due to payment delays,Company,Anil Mishra,REP000025,INV0000222,Follow-up Required,
INT0000222,CUST000023,Infosys Info Limited,2025-02-09,Video Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Amit Mishra,REP000022,INV0000222,Resolved,
INT0000223,CUST000023,Infosys Info Limited,2025-01-04,Site Visit,Collection Call,Customer promised payment by next week,Company,Rajesh Joshi,REP000049,INV0000227,Pending,
INT0000224,CUST000023,Infosys Info Limited,2025-02-26,Video Call,Collection Call,Discussed payment of overdue invoices,Company,Rahul Gupta,REP000006,INV0000222,Follow-up Required,
INT0000225,CUST000023,Infosys Info Limited,2024-12-31,Site Visit,General Inquiry,Explained invoice details,Company,Ashok Joshi,REP000050,,Resolved,
INT0000226,CUST000023,Infosys Info Limited,2024-10-30,Video Call,Collection Call,Customer disputed invoice amount,Company,Sanjay Mishra,REP000027,INV0000221,Pending,
INT0000227,CUST000023,Infosys Info Limited,2024-12-31,Chat,Collection Call,Customer disputed invoice amount,Company,Ashok Mishra,REP000030,INV0000222,Follow-up Required,
INT0000231,CUST000024,Bharti Info Limited,2024-11-06,Email,Collection Call,Customer promised payment by next week,Company,Anita Gupta,REP000016,INV0000231,Follow-up Required,
INT0000232,CUST000024,Bharti Info Limited,2025-03-18,Site Visit,Collection Call,Left voicemail regarding overdue payment,Company,Geeta Mishra,REP000040,INV0000231,Resolved,
INT0000233,CUST000024,Bharti Info Limited,2025-02-17,Site Visit,Collection Call,Customer disputed invoice amount,Company,Sunita Mishra,REP000035,INV0000231,Pending,
INT0000241,CUST000025,HDFC Info Limited,2024-12-21,Email,Collection Call,Customer promised payment by next week,Company,Rani Gupta,REP000014,INV0000246,Follow-up Required,
INT0000242,CUST000025,HDFC Info Limited,2024-11-02,Call,Payment Confirmation,Confirmed check has been processed,Customer,Rakesh Joshi,REP000048,INV0000242,Resolved,
INT0000243,CUST000025,HDFC Info Limited,2024-10-13,Site Visit,Collection Call,Customer promised payment by next week,Company,Ashok Gupta,REP000010,INV0000246,Pending,
INT0000244,CUST000025,HDFC Info Limited,2025-03-10,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Ashok Mishra,REP000030,INV0000246,Follow-up Required,
INT0000245,CUST000025,HDFC Info Limited,2025-03-06,Chat,Collection Call,Escalated to manager due to payment delays,Company,Rahul Mishra,REP000026,INV0000246,Resolved,
INT0000251,CUST000026,Wipro Info Limited,2025-03-25,Web Portal,General Inquiry,Provided account balance information,Company,Anita Mishra,REP000036,,Follow-up Required,
INT0000252,CUST000026,Wipro Info Limited,2025-01-09,Video Call,Account Review,Negotiated new payment terms,Company,Raj Joshi,REP000041,,Resolved,
INT0000261,CUST000027,Mahindra Info Limited,2024-12-06,Meeting,Dispute Resolution,Clarified invoice line items,Customer,Neha Gupta,REP000012,INV0000264,Follow-up Required,
INT0000262,CUST000027,Mahindra Info Limited,2025-02-12,Meeting,General Inquiry,Responded to statement request,Customer,Sanjay Mishra,REP000027,,Resolved,
INT0000271,CUST000028,Birla Info Limited,2024-12-16,Email,Dispute Resolution,Processing refund for returned items,Customer,Anita Mishra,REP000036,INV0000272,Follow-up Required,
INT0000272,CUST000028,Birla Info Limited,2024-10-08,Chat,Account Review,Discussed upcoming orders and payment terms,Company,Ashok Joshi,REP000050,,Resolved,
INT0000281,CUST000029,Adani Info Limited,2025-04-09,Web Portal,General Inquiry,Answered questions about payment methods,Customer,Rajesh Joshi,REP000049,,Follow-up Required,
INT0000282,CUST000029,Adani Info Limited,2025-03-29,Web Portal,Collection Call,Customer disputed invoice amount,Company,Anil Joshi,REP000045,INV0000288,Resolved,
INT0000283,CUST000029,Adani Info Limited,2024-10-04,Meeting,Collection Call,Customer promised payment by next week,Company,Pooja Gupta,REP000013,INV0000288,Pending,
INT0000284,CUST000029,Adani Info Limited,2025-01-17,Chat,Collection Call,Escalated to manager due to payment delays,Company,Ashok Mishra,REP000030,INV0000288,Follow-up Required,
INT0000285,CUST000029,Adani Info Limited,2024-12-15,Chat,Dispute Resolution,Created credit note for billing error,Customer,Sanjay Mishra,REP000027,INV0000285,Resolved,
INT0000286,CUST000029,Adani Info Limited,2024-11-27,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Vijay Gupta,REP000003,INV0000288,Pending,
INT0000291,CUST000030,JSW Info Limited,2024-12-30,Call,Payment Confirmation,Updated records with new payment details,Company,Sanjay Mishra,REP000027,INV0000293,Follow-up Required,
INT0000292,CUST000030,JSW Info Limited,2025-02-05,Email,General Inquiry,Explained invoice details,Company,Kavita Mishra,REP000038,,Resolved,
INT0000293,CUST000030,JSW Info Limited,2024-11-11,Email,General Inquiry,Shared payment history report,Customer,Ashok Mishra,REP000030,,Pending,
INT0000294,CUST000030,JSW Info Limited,2024-12-27,Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Shalini Gupta,REP000019,INV0000295,Follow-up Required,
INT0000295,CUST000030,JSW Info Limited,2025-02-11,Meeting,Collection Call,Customer promised payment by next week,Company,Neha Gupta,REP000012,INV0000295,Resolved,
INT0000301,CUST000031,Godrej Info Limited,2024-12-16,Chat,Collection Call,Customer disputed invoice amount,Company,Anil Joshi,REP000045,INV0000301,Follow-up Required,
INT0000302,CUST000031,Godrej Info Limited,2024-11-27,Video Call,Collection Call,Discussed payment of overdue invoices,Company,Sunil Joshi,REP000044,INV0000301,Resolved,
INT0000303,CUST000031,Godrej Info Limited,2024-10-15,Email,Collection Call,Escalated to manager due to payment delays,Company,Sunita Gupta,REP000015,INV0000301,Pending,
INT0000304,CUST000031,Godrej Info Limited,2025-03-03,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Rakesh Joshi,REP000048,INV0000301,Follow-up Required,
INT0000311,CUST000032,L&T Info Limited,2025-03-20,Chat,Collection Call,Discussed payment of overdue invoices,Company,Shalini Gupta,REP000019,INV0000315,Follow-up Required,
INT0000312,CUST000032,L&T Info Limited,2025-03-26,Chat,Collection Call,Discussed payment of overdue invoices,Company,Rajesh Mishra,REP000029,INV0000313,Resolved,
INT0000313,CUST000032,L&T Info Limited,2025-01-08,Call,Collection Call,Customer confirmed payment has been initiated,Company,Ashok Joshi,REP000050,INV0000313,Pending,
INT0000314,CUST000032,L&T Info Limited,2024-12-05,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Priya Gupta,REP000011,INV0000313,Follow-up Required,
INT0000315,CUST000032,L&T Info Limited,2025-02-15,Email,Collection Call,Escalated to manager due to payment delays,Company,Kavita Gupta,REP000018,INV0000313,Resolved,
INT0000316,CUST000032,L&T Info Limited,2024-10-24,Web Portal,Collection Call,Customer disputed invoice amount,Company,Priya Mishra,REP000031,INV0000311,Pending,
INT0000317,CUST000032,L&T Info Limited,2025-04-01,Chat,Collection Call,Escalated to manager due to payment delays,Company,Neha Mishra,REP000032,INV0000311,Follow-up Required,
INT0000318,CUST000032,L&T Info Limited,2025-02-28,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Vijay Joshi,REP000043,INV0000311,Resolved,
INT0000321,CUST000033,ICICI Info Limited,2025-02-01,Call,General Inquiry,Responded to statement request,Customer,Rakesh Gupta,REP000008,,Follow-up Required,
INT0000322,CUST000033,ICICI Info Limited,2025-03-13,Site Visit,Payment Confirmation,Resolved payment allocation discrepancy,Customer,Ashok Gupta,REP000010,INV0000321,Resolved,
INT0000331,CUST000034,SBI Info Limited,2024-12-10,Video Call,Collection Call,Left voicemail regarding overdue payment,Company,Sunil Joshi,REP000044,INV0000331,Follow-up Required,
INT0000332,CUST000034,SBI Info Limited,2024-10-05,Web Portal,Collection Call,Explained late payment fees and implications,Company,Rakesh Gupta,REP000008,INV0000331,Resolved,
INT0000333,CUST000034,SBI Info Limited,2025-01-15,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Rani Gupta,REP000014,INV0000331,Pending,
INT0000334,CUST000034,SBI Info Limited,2025-01-03,Video Call,Collection Call,Customer promised payment by next week,Company,Anita Gupta,REP000016,INV0000331,Follow-up Required,
INT0000335,CUST000034,SBI Info Limited,2024-10-31,Video Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Raj Mishra,REP000021,INV0000331,Resolved,
INT0000341,CUST000035,TCS Info Limited,2025-03-15,Site Visit,Payment Confirmation,Received confirmation of payment transfer,Customer,Vijay Gupta,REP000003,INV0000342,Follow-up Required,
INT0000342,CUST000035,TCS Info Limited,2024-10-09,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Rakesh Gupta,REP000008,INV0000342,Resolved,
INT0000343,CUST000035,TCS Info Limited,2024-10-27,Site Visit,Payment Confirmation,Confirmed check has been processed,Company,Raj Gupta,REP000001,INV0000342,Pending,
INT0000351,CUST000036,Bajaj Info Limited,2025-02-25,Site Visit,Collection Call,Customer disputed invoice amount,Company,Sunil Gupta,REP000004,INV0000356,Follow-up Required,
INT0000352,CUST000036,Bajaj Info Limited,2025-03-11,Call,Collection Call,Explained late payment fees and implications,Company,Meena Mishra,REP000037,INV0000356,Resolved,
INT0000353,CUST000036,Bajaj Info Limited,2025-03-05,Meeting,Dispute Resolution,Resolved shipping discrepancy,Company,Anil Mishra,REP000025,INV0000355,Pending,
