customer_id,customer_name,primary_contact,email,phone,address_line1,city,state,postal_code,country,gst_number,payment_terms,credit_limit,available_credit,industry_sector,customer_category,onboarding_date,status
CUST000012,L&T Tech Limited,Neha Sharma,neha.sharma@l&ttechlimited.com,+918156937697,75, MG Road,Indore,Madhya Pradesh,442554,India,23ABCDE0111ZZ,Net 30,272684,104166.34,Education,Small,2023-08-23,Active
CUST000013,ICICI Tech Limited,Pooja Sharma,pooja.sharma@icicitechlimited.com,+919072110163,82, MG Road,Kochi,Kerala,474919,India,32ABCDE0121ZZ,Net 60,9634632,4787352.77,Media & Entertainment,Medium,2022-05-19,Active
CUST000014,SBI Tech Limited,Rani Sharma,rani.sharma@sbitechlimited.com,+917008894770,97, MG Road,Nagpur,Maharashtra,482220,India,27ABCDE0131ZZ,Net 30,5880075,1912061.62,FMCG,Medium,2018-03-02,Active
CUST000015,TCS Tech Limited,Sunita Sharma,sunita.sharma@tcstechlimited.com,+918790000161,2, MG Road,Bhopal,Madhya Pradesh,431105,India,23ABCDE0141ZZ,Net 45,869866,818412.21,Agriculture,Small,2022-08-04,Active
CUST000016,Bajaj Tech Limited,Anita Sharma,anita.sharma@bajajtechlimited.com,+919813393121,63, MG Road,Surat,Gujarat,474411,India,24ABCDE0151ZZ,Net 45,2259828,1255243.62,Construction,Medium,2022-03-04,Active
CUST000017,HCL Tech Limited,Meena Sharma,meena.sharma@hcltechlimited.com,+919910553863,55, MG Road,Vadodara,Gujarat,450422,India,24ABCDE0161ZZ,Net 30,711014,616932.38,Manufacturing,Small,2021-03-22,Active
CUST000018,Hindustan Tech Limited,Kavita Sharma,kavita.sharma@hindustantechlimited.com,+919538366005,2, MG Road,Coimbatore,Tamil Nadu,425612,India,33ABCDE0171ZZ,Net 30,3883737,2864757.60,IT Services,Medium,2024-04-29,Active
CUST000019,Indian Tech Limited,Shalini Sharma,shalini.sharma@indiantechlimited.com,+917194185248,56, MG Road,Visakhapatnam,Andhra Pradesh,417961,India,37ABCDE0181ZZ,Net 15,644699,551573.60,Banking & Finance,Small,2021-10-17,Active
CUST000020,Tech Tech Limited,Geeta Sharma,geeta.sharma@techtechlimited.com,+919880363761,46, MG Road,Guwahati,Assam,420089,India,18ABCDE0191ZZ,Net 15,40639872,39749487.15,Pharmaceuticals,Large,2023-10-07,Active
CUST000021,Tata Info Limited,Raj Patel,raj.patel@tatainfolimited.com,+917089342341,30, Gandhi Nagar,Mumbai,Maharashtra,481818,India,27ABCDE0201ZZ,Net 30,11483190,4115100.94,Retail,Large,2022-05-10,Active
CUST000022,Reliance Info Limited,Amit Patel,amit.patel@relianceinfolimited.com,+917199309582,76, Gandhi Nagar,Delhi,Delhi,426988,India,07ABCDE0211ZZ,Net 7,116785,48770.12,Real Estate,Small,2021-04-18,Active
CUST000023,Infosys Info Limited,Vijay Patel,vijay.patel@infosysinfolimited.com,+917617346759,64, Gandhi Nagar,Bangalore,Karnataka,450690,India,29ABCDE0221ZZ,Net 60,309079,134543.74,Telecommunications,Small,2019-05-08,Active
CUST000024,Bharti Info Limited,Sunil Patel,sunil.patel@bhartiinfolimited.com,+917424479192,91, Gandhi Nagar,Hyderabad,Telangana,470903,India,36ABCDE0231ZZ,Net 15,3004041,1644632.53,Healthcare,Medium,2019-05-22,Active
CUST000025,HDFC Info Limited,Anil Patel,anil.patel@hdfcinfolimited.com,+917213156880,60, Gandhi Nagar,Chennai,Tamil Nadu,441160,India,33ABCDE0241ZZ,Net 30,9158328,7669831.67,Automotive,Medium,2018-05-11,Active
CUST000026,Wipro Info Limited,Rahul Patel,rahul.patel@wiproinfolimited.com,+918384440290,4, Gandhi Nagar,Kolkata,West Bengal,426378,India,19ABCDE0251ZZ,Net 60,28055683,23381677.23,Energy,Large,2018-07-21,Active
CUST000027,Mahindra Info Limited,Sanjay Patel,sanjay.patel@mahindrainfolimited.com,+918847312932,95, Gandhi Nagar,Pune,Maharashtra,417649,India,27ABCDE0261ZZ,Net 60,28652993,23496086.33,Hospitality,Large,2022-03-23,Active
CUST000028,Birla Info Limited,Rakesh Patel,rakesh.patel@birlainfolimited.com,+918432278811,92, Gandhi Nagar,Ahmedabad,Gujarat,426636,India,24ABCDE0271ZZ,Net 15,531353,219911.94,Education,Small,2023-12-18,Active
CUST000029,Adani Info Limited,Rajesh Patel,rajesh.patel@adaniinfolimited.com,+918021393729,80, Gandhi Nagar,Jaipur,Rajasthan,401727,India,08ABCDE0281ZZ,Net 30,8973468,6287045.52,Media & Entertainment,Medium,2018-04-18,Active
CUST000030,JSW Info Limited,Ashok Patel,ashok.patel@jswinfolimited.com,+919048172764,7, Gandhi Nagar,Lucknow,Uttar Pradesh,413735,India,09ABCDE0291ZZ,Net 45,9820955,6311152.65,FMCG,Medium,2019-02-27,Active
CUST000031,Godrej Info Limited,Priya Patel,priya.patel@godrejinfolimited.com,+918790538274,12, Gandhi Nagar,Chandigarh,Punjab,409697,India,03ABCDE0301ZZ,Net 30,291882,282843.09,Agriculture,Small,2022-05-05,Active
CUST000032,L&T Info Limited,Neha Patel,neha.patel@l&tinfolimited.com,+919620355850,40, Gandhi Nagar,Indore,Madhya Pradesh,423489,India,23ABCDE0311ZZ,Net 30,9700993,8841969.86,Construction,Medium,2023-10-24,Active
CUST000033,ICICI Info Limited,Pooja Patel,pooja.patel@iciciinfolimited.com,+917453570092,58, Gandhi Nagar,Kochi,Kerala,436912,India,32ABCDE0321ZZ,Net 45,22752429,19615218.14,Manufacturing,Large,2024-08-30,Active
CUST000034,SBI Info Limited,Rani Patel,rani.patel@sbiinfolimited.com,+917651235352,63, Gandhi Nagar,Nagpur,Maharashtra,467622,India,27ABCDE0331ZZ,Net 30,3110118,1922879.31,IT Services,Medium,2023-02-12,Active
CUST000035,TCS Info Limited,Sunita Patel,sunita.patel@tcsinfolimited.com,+918577716392,27, Gandhi Nagar,Bhopal,Madhya Pradesh,453285,India,23ABCDE0341ZZ,Net 30,1157911,1116201.89,Banking & Finance,Medium,2019-05-04,Active
CUST000036,Bajaj Info Limited,Anita Patel,anita.patel@bajajinfolimited.com,+918769644382,39, Gandhi Nagar,Surat,Gujarat,482167,India,24ABCDE0351ZZ,Net 45,420209,172980.13,Pharmaceuticals,Small,2022-08-05,Active
CUST000037,HCL Info Limited,Meena Patel,meena.patel@hclinfolimited.com,+919933450146,82, Gandhi Nagar,Vadodara,Gujarat,460601,India,24ABCDE0361ZZ,Net 45,4559386,3215535.38,Retail,Medium,2018-06-23,Active
CUST000038,Hindustan Info Limited,Kavita Patel,kavita.patel@hindustaninfolimited.com,+917476935778,92, Gandhi Nagar,Coimbatore,Tamil Nadu,401209,India,33ABCDE0371ZZ,Net 30,28904981,16407244.71,Real Estate,Large,2018-11-03,Active
CUST000039,Indian Info Limited,Shalini Patel,shalini.patel@indianinfolimited.com,+919014682607,50, Gandhi Nagar,Visakhapatnam,Andhra Pradesh,429300,India,37ABCDE0381ZZ,Net 60,43532913,16846350.81,Telecommunications,Large,2022-09-18,Inactive
CUST000040,Tech Info Limited,Geeta Patel,geeta.patel@techinfolimited.com,+919087812601,73, Gandhi Nagar,Guwahati,Assam,462714,India,18ABCDE0391ZZ,Net 45,47347843,19772250.53,Healthcare,Large,2023-06-30,Active
CUST000041,Tata Auto Limited,Raj Singh,raj.singh@tataautolimited.com,+917183081612,11, Nehru Place,Mumbai,Maharashtra,417957,India,27ABCDE0401ZZ,Net 30,10045493,9008006.52,Automotive,Large,2024-12-25,Active
CUST000042,Reliance Auto Limited,Amit Singh,amit.singh@relianceautolimited.com,+917404336224,40, Nehru Place,Delhi,Delhi,469966,India,07ABCDE0411ZZ,Net 7,41622142,15907203.39,Energy,Large,2024-02-02,Active
CUST000043,Infosys Auto Limited,Vijay Singh,vijay.singh@infosysautolimited.com,+918257273227,21, Nehru Place,Bangalore,Karnataka,487780,India,29ABCDE0421ZZ,Net 60,1942466,1669698.95,Hospitality,Medium,2023-10-28,Active
CUST000044,Bharti Auto Limited,Sunil Singh,sunil.singh@bhartiautolimited.com,+919823784564,21, Nehru Place,Hyderabad,Telangana,405704,India,36ABCDE0431ZZ,Net 45,583357,521379.03,Education,Small,2020-08-01,Active
CUST000045,HDFC Auto Limited,Anil Singh,anil.singh@hdfcautolimited.com,+918261097234,14, Nehru Place,Chennai,Tamil Nadu,469636,India,33ABCDE0441ZZ,Net 30,3516107,1249373.21,Media & Entertainment,Medium,2020-03-10,Active
CUST000046,Wipro Auto Limited,Rahul Singh,rahul.singh@wiproautolimited.com,+918646422468,98, Nehru Place,Kolkata,West Bengal,467690,India,19ABCDE0451ZZ,Net 30,27551816,13447608.54,FMCG,Large,2019-10-20,Active
CUST000047,Mahindra Auto Limited,Sanjay Singh,sanjay.singh@mahindraautolimited.com,+919330324313,89, Nehru Place,Pune,Maharashtra,421923,India,27ABCDE0461ZZ,Net 45,760650,275383.23,Agriculture,Small,2018-12-13,Active
CUST000048,Birla Auto Limited,Rakesh Singh,rakesh.singh@birlaautolimited.com,+918203326861,8, Nehru Place,Ahmedabad,Gujarat,457605,India,24ABCDE0471ZZ,Net 45,829351,277113.66,Construction,Small,2019-05-21,Active
CUST000049,Adani Auto Limited,Rajesh Singh,rajesh.singh@adaniautolimited.com,+917421269866,21, Nehru Place,Jaipur,Rajasthan,485280,India,08ABCDE0481ZZ,Net 15,207312,70793.47,Manufacturing,Small,2019-03-05,Active
CUST000050,JSW Auto Limited,Ashok Singh,ashok.singh@jswautolimited.com,+917680674719,12, Nehru Place,Lucknow,Uttar Pradesh,436437,India,09ABCDE0491ZZ,Net 7,668406,206187.34,IT Services,Small,2024-11-07,Active
CUST000051,Godrej Auto Limited,Priya Singh,priya.singh@godrejautolimited.com,+917643516897,73, Nehru Place,Chandigarh,Punjab,465047,India,03ABCDE0501ZZ,Net 60,319254,238597.43,Banking & Finance,Small,2018-08-30,Active
CUST000052,L&T Auto Limited,Neha Singh,neha.singh@l&tautolimited.com,+917186957157,15, Nehru Place,Indore,Madhya Pradesh,470474,India,23ABCDE0511ZZ,Net 15,959657,896702.93,Pharmaceuticals,Small,2020-10-18,Active
CUST000053,ICICI Auto Limited,Pooja Singh,pooja.singh@iciciautolimited.com,+919701519181,4, Nehru Place,Kochi,Kerala,429213,India,32ABCDE0521ZZ,Net 30,30902343,15548764.35,Retail,Large,2022-10-13,Active
CUST000054,SBI Auto Limited,Rani Singh,rani.singh@sbiautolimited.com,+917140643588,43, Nehru Place,Nagpur,Maharashtra,441194,India,27ABCDE0531ZZ,Net 60,24178582,12065041.01,Real Estate,Large,2019-10-25,Active
CUST000055,TCS Auto Limited,Sunita Singh,sunita.singh@tcsautolimited.com,+919232337088,62, Nehru Place,Bhopal,Madhya Pradesh,494300,India,23ABCDE0541ZZ,Net 60,9981456,5974788.75,Telecommunications,Medium,2022-07-16,Active
CUST000056,Bajaj Auto Limited,Anita Singh,anita.singh@bajajautolimited.com,+917538071854,9, Nehru Place,Surat,Gujarat,499452,India,24ABCDE0551ZZ,COD,2577281,1945253.97,Healthcare,Medium,2021-11-08,Active
CUST000057,HCL Auto Limited,Meena Singh,meena.singh@hclautolimited.com,+917437261416,16, Nehru Place,Vadodara,Gujarat,444027,India,24ABCDE0561ZZ,Net 30,890469,436705.97,Automotive,Small,2021-06-26,Active
CUST000058,Hindustan Auto Limited,Kavita Singh,kavita.singh@hindustanautolimited.com,+917111331816,4, Nehru Place,Coimbatore,Tamil Nadu,457108,India,33ABCDE0571ZZ,Net 15,39943631,13525708.39,Energy,Large,2020-01-14,Active
CUST000059,Indian Auto Limited,Shalini Singh,shalini.singh@indianautolimited.com,+917706341906,61, Nehru Place,Visakhapatnam,Andhra Pradesh,499068,India,37ABCDE0581ZZ,Net 15,979290,892249.95,Hospitality,Small,2024-01-22,Inactive
CUST000060,Tech Auto Limited,Geeta Singh,geeta.singh@techautolimited.com,+917917687740,91, Nehru Place,Guwahati,Assam,467522,India,18ABCDE0591ZZ,Net 30,968577,734398.98,Education,Small,2018-11-28,Active
CUST000061,Tata Fin Limited,Raj Kumar,raj.kumar@tatafinlimited.com,+918662673389,4, Connaught Place,Mumbai,Maharashtra,482120,India,27ABCDE0601ZZ,Net 30,135056,101951.80,Media & Entertainment,Small,2021-10-31,Active
CUST000062,Reliance Fin Limited,Amit Kumar,amit.kumar@reliancefinlimited.com,+918488172042,79, Connaught Place,Delhi,Delhi,472652,India,07ABCDE0611ZZ,Net 30,174963602,147754606.26,FMCG,Enterprise,2023-01-16,Active
CUST000063,Infosys Fin Limited,Vijay Kumar,vijay.kumar@infosysfinlimited.com,+918786398597,13, Connaught Place,Bangalore,Karnataka,465050,India,29ABCDE0621ZZ,Net 45,507066,392817.56,Agriculture,Small,2022-02-01,Active
CUST000064,Bharti Fin Limited,Sunil Kumar,sunil.kumar@bhartifinlimited.com,+919281676118,73, Connaught Place,Hyderabad,Telangana,497688,India,36ABCDE0631ZZ,Net 60,678459,450508.79,Construction,Small,2019-07-09,Active
CUST000065,HDFC Fin Limited,Anil Kumar,anil.kumar@hdfcfinlimited.com,+917917555476,16, Connaught Place,Chennai,Tamil Nadu,498851,India,33ABCDE0641ZZ,Net 30,159584,58433.77,Manufacturing,Small,2022-07-22,Active
CUST000066,Wipro Fin Limited,Rahul Kumar,rahul.kumar@wiprofinlimited.com,+917550418177,3, Connaught Place,Kolkata,West Bengal,486363,India,19ABCDE0651ZZ,Net 15,1298719,1193995.88,IT Services,Medium,2018-06-24,Active
CUST000067,Mahindra Fin Limited,Sanjay Kumar,sanjay.kumar@mahindrafinlimited.com,+919607961542,25, Connaught Place,Pune,Maharashtra,469314,India,27ABCDE0661ZZ,Net 30,7898264,6990939.28,Banking & Finance,Medium,2024-01-08,Active
CUST000068,Birla Fin Limited,Rakesh Kumar,rakesh.kumar@birlafinlimited.com,+919922171069,41, Connaught Place,Ahmedabad,Gujarat,479267,India,24ABCDE0671ZZ,Net 30,3992813,3482750.10,Pharmaceuticals,Medium,2024-01-18,Active
CUST000069,Adani Fin Limited,Rajesh Kumar,rajesh.kumar@adanifinlimited.com,+917906023811,75, Connaught Place,Jaipur,Rajasthan,439718,India,08ABCDE0681ZZ,Net 45,10332287,6835060.64,Retail,Large,2023-05-06,Active
CUST000070,JSW Fin Limited,Ashok Kumar,ashok.kumar@jswfinlimited.com,+918884938902,18, Connaught Place,Lucknow,Uttar Pradesh,423546,India,09ABCDE0691ZZ,Net 60,16977417,6047672.25,Real Estate,Large,2018-10-08,Active
CUST000071,Godrej Fin Limited,Priya Kumar,priya.kumar@godrejfinlimited.com,+919977202835,86, Connaught Place,Chandigarh,Punjab,439075,India,03ABCDE0701ZZ,Net 30,19178794,16348719.56,Telecommunications,Large,2018-03-04,Active
CUST000072,L&T Fin Limited,Neha Kumar,neha.kumar@l&tfinlimited.com,+918831286047,17, Connaught Place,Indore,Madhya Pradesh,400899,India,23ABCDE0711ZZ,Net 45,991993,367703.86,Healthcare,Small,2020-02-14,Active
CUST000073,ICICI Fin Limited,Pooja Kumar,pooja.kumar@icicifinlimited.com,+919215264947,51, Connaught Place,Kochi,Kerala,462722,India,32ABCDE0721ZZ,Net 7,645126,428577.05,Automotive,Small,2023-09-03,Active
CUST000074,SBI Fin Limited,Rani Kumar,rani.kumar@sbifinlimited.com,+919315117951,30, Connaught Place,Nagpur,Maharashtra,449222,India,27ABCDE0731ZZ,Net 15,47265352,28847250.63,Energy,Large,2020-06-30,Active
CUST000075,TCS Fin Limited,Sunita Kumar,sunita.kumar@tcsfinlimited.com,+918634592965,5, Connaught Place,Bhopal,Madhya Pradesh,445076,India,23ABCDE0741ZZ,Net 15,422741,276567.12,Hospitality,Small,2024-11-12,Inactive
CUST000076,Bajaj Fin Limited,Anita Kumar,anita.kumar@bajajfinlimited.com,+918738080538,90, Connaught Place,Surat,Gujarat,457657,India,24ABCDE0751ZZ,COD,1254024,396699.89,Education,Medium,2018-05-04,Active
CUST000077,HCL Fin Limited,Meena Kumar,meena.kumar@hclfinlimited.com,+918043367590,13, Connaught Place,Vadodara,Gujarat,416741,India,24ABCDE0761ZZ,Net 15,7388805,5918137.06,Media & Entertainment,Medium,2018-02-16,Inactive
CUST000078,Hindustan Fin Limited,Kavita Kumar,kavita.kumar@hindustanfinlimited.com,+917386339028,78, Connaught Place,Coimbatore,Tamil Nadu,481871,India,33ABCDE0771ZZ,Net 30,2827490,2615931.46,FMCG,Medium,2022-02-11,Active
CUST000079,Indian Fin Limited,Shalini Kumar,shalini.kumar@indianfinlimited.com,+917791351538,75, Connaught Place,Visakhapatnam,Andhra Pradesh,469508,India,37ABCDE0781ZZ,Net 30,1202355,720487.79,Agriculture,Medium,2018-07-23,Active
CUST000080,Tech Fin Limited,Geeta Kumar,geeta.kumar@techfinlimited.com,+917781402668,18, Connaught Place,Guwahati,Assam,484623,India,18ABCDE0791ZZ,COD,564159,287398.82,Construction,Small,2023-06-30,Active
CUST000081,Tata Power Limited,Raj Verma,raj.verma@tatapowerlimited.com,+918775055583,74, Brigade Road,Mumbai,Maharashtra,433404,India,27ABCDE0801ZZ,Net 15,469613,146761.99,Manufacturing,Small,2020-06-30,Active
CUST000082,Reliance Power Limited,Amit Verma,amit.verma@reliancepowerlimited.com,+917123841179,60, Brigade Road,Delhi,Delhi,450055,India,07ABCDE0811ZZ,Net 45,4836743,2853616.37,IT Services,Medium,2022-12-16,Active
CUST000083,Infosys Power Limited,Vijay Verma,vijay.verma@infosyspowerlimited.com,+918963875391,22, Brigade Road,Bangalore,Karnataka,467132,India,29ABCDE0821ZZ,Net 30,5268597,1809152.47,Banking & Finance,Medium,2022-01-03,Active
CUST000084,Bharti Power Limited,Sunil Verma,sunil.verma@bhartipowerlimited.com,+918869077158,53, Brigade Road,Hyderabad,Telangana,454887,India,36ABCDE0831ZZ,Net 30,372470,292971.83,Pharmaceuticals,Small,2018-07-03,Active
CUST000085,HDFC Power Limited,Anil Verma,anil.verma@hdfcpowerlimited.com,+917651403711,40, Brigade Road,Chennai,Tamil Nadu,427862,India,33ABCDE0841ZZ,Net 30,176091844,131798549.17,Retail,Enterprise,2023-04-27,Active
CUST000086,Wipro Power Limited,Rahul Verma,rahul.verma@wipropowerlimited.com,+918519774695,87, Brigade Road,Kolkata,West Bengal,431538,India,19ABCDE0851ZZ,Net 45,9036550,2826535.35,Real Estate,Medium,2024-07-01,Active
CUST000087,Mahindra Power Limited,Sanjay Verma,sanjay.verma@mahindrapowerlimited.com,+917283296344,86, Brigade Road,Pune,Maharashtra,453112,India,27ABCDE0861ZZ,Net 30,954334,367584.60,Telecommunications,Small,2020-05-26,Active
CUST000088,Birla Power Limited,Rakesh Verma,rakesh.verma@birlapowerlimited.com,+918567880437,95, Brigade Road,Ahmedabad,Gujarat,416017,India,24ABCDE0871ZZ,Net 15,1621144,1452284.43,Healthcare,Medium,2020-11-26,Active
CUST000089,Adani Power Limited,Rajesh Verma,rajesh.verma@adanipowerlimited.com,+917887538829,42, Brigade Road,Jaipur,Rajasthan,415404,India,08ABCDE0881ZZ,Net 30,418100,178012.70,Automotive,Small,2018-03-11,Active
CUST000090,JSW Power Limited,Ashok Verma,ashok.verma@jswpowerlimited.com,+917353412928,31, Brigade Road,Lucknow,Uttar Pradesh,429319,India,09ABCDE0891ZZ,Net 45,668670,401995.93,Energy,Small,2019-04-11,Active
CUST000091,Godrej Power Limited,Priya Verma,priya.verma@godrejpowerlimited.com,+918550303911,23, Brigade Road,Chandigarh,Punjab,495686,India,03ABCDE0901ZZ,Net 15,767104,760044.81,Hospitality,Small,2020-08-20,Active
CUST000092,L&T Power Limited,Neha Verma,neha.verma@l&tpowerlimited.com,+917773349318,16, Brigade Road,Indore,Madhya Pradesh,429676,India,23ABCDE0911ZZ,Net 30,1356565,839334.65,Education,Medium,2021-07-19,Active
CUST000093,ICICI Power Limited,Pooja Verma,pooja.verma@icicipowerlimited.com,+918320899337,70, Brigade Road,Kochi,Kerala,478705,India,32ABCDE0921ZZ,Net 60,44320789,35399678.94,Media & Entertainment,Large,2018-03-13,Active
CUST000094,SBI Power Limited,Rani Verma,rani.verma@sbipowerlimited.com,+919509988466,95, Brigade Road,Nagpur,Maharashtra,402840,India,27ABCDE0931ZZ,Net 45,8160398,5414616.63,FMCG,Medium,2019-10-11,Active
CUST000095,TCS Power Limited,Sunita Verma,sunita.verma@tcspowerlimited.com,+917266335174,47, Brigade Road,Bhopal,Madhya Pradesh,463577,India,23ABCDE0941ZZ,Net 60,709186,514608.07,Agriculture,Small,2023-10-09,Active
CUST000096,Bajaj Power Limited,Anita Verma,anita.verma@bajajpowerlimited.com,+919143929346,32, Brigade Road,Surat,Gujarat,484972,India,24ABCDE0951ZZ,Net 30,434237,174125.57,Construction,Small,2018-08-31,Active
CUST000097,HCL Power Limited,Meena Verma,meena.verma@hclpowerlimited.com,+917051867490,33, Brigade Road,Vadodara,Gujarat,405076,India,24ABCDE0961ZZ,Net 15,8478775,5678754.89,Manufacturing,Medium,2023-09-10,Active
CUST000098,Hindustan Power Limited,Kavita Verma,kavita.verma@hindustanpowerlimited.com,+918429177977,71, Brigade Road,Coimbatore,Tamil Nadu,429053,India,33ABCDE0971ZZ,Net 30,2394636,1940315.46,IT Services,Medium,2020-01-15,Active
CUST000099,Indian Power Limited,Shalini Verma,shalini.verma@indianpowerlimited.com,+917041152876,32, Brigade Road,Visakhapatnam,Andhra Pradesh,471337,India,37ABCDE0981ZZ,Net 30,886464,878304.60,Banking & Finance,Small,2020-12-24,Active
CUST000100,Tech Power Limited,Geeta Verma,geeta.verma@techpowerlimited.com,+919965972446,46, Brigade Road,Guwahati,Assam,445639,India,18ABCDE0991ZZ,Net 60,826574,603016.66,Pharmaceuticals,Small,2024-06-16,Active
CUST000101,Tata Steel Limited,Raj Gupta,raj.gupta@tatasteellimited.com,+919704717730,49, Park Street,Mumbai,Maharashtra,482764,India,27ABCDE1001ZZ,Net 7,910482,665392.62,Retail,Small,2022-02-09,Active
CUST000102,Reliance Steel Limited,Amit Gupta,amit.gupta@reliancesteellimited.com,+919272100479,78, Park Street,Delhi,Delhi,402464,India,07ABCDE1011ZZ,Net 15,486727,251343.94,Real Estate,Small,2020-01-19,Active
CUST000103,Infosys Steel Limited,Vijay Gupta,vijay.gupta@infosyssteellimited.com,+918360049827,89, Park Street,Bangalore,Karnataka,438863,India,29ABCDE1021ZZ,Net 15,108534142,72874527.59,Telecommunications,Enterprise,2023-05-03,Active
CUST000104,Bharti Steel Limited,Sunil Gupta,sunil.gupta@bhartisteellimited.com,+918786574265,54, Park Street,Hyderabad,Telangana,401358,India,36ABCDE1031ZZ,Net 45,37349176,17718352.67,Healthcare,Large,2021-03-05,Active
CUST000105,HDFC Steel Limited,Anil Gupta,anil.gupta@hdfcsteellimited.com,+918455384523,73, Park Street,Chennai,Tamil Nadu,415514,India,33ABCDE1041ZZ,Net 45,169970,96275.65,Automotive,Small,2024-02-09,Active
CUST000106,Wipro Steel Limited,Rahul Gupta,rahul.gupta@wiprosteellimited.com,+919696426208,19, Park Street,Kolkata,West Bengal,416887,India,19ABCDE1051ZZ,Net 15,10845881,7480927.45,Energy,Large,2020-01-14,Active
CUST000107,Mahindra Steel Limited,Sanjay Gupta,sanjay.gupta@mahindrasteellimited.com,+918744070958,21, Park Street,Pune,Maharashtra,465793,India,27ABCDE1061ZZ,Net 30,4446446,3627368.15,Hospitality,Medium,2021-07-31,Active
CUST000108,Birla Steel Limited,Rakesh Gupta,rakesh.gupta@birlasteellimited.com,+918348521078,29, Park Street,Ahmedabad,Gujarat,488917,India,24ABCDE1071ZZ,Net 60,43321608,43005675.91,Education,Large,2021-12-11,Active
CUST000109,Adani Steel Limited,Rajesh Gupta,rajesh.gupta@adanisteellimited.com,+917276274554,23, Park Street,Jaipur,Rajasthan,419414,India,08ABCDE1081ZZ,Net 30,661346,515462.08,Media & Entertainment,Small,2024-02-29,Active
CUST000110,JSW Steel Limited,Ashok Gupta,ashok.gupta@jswsteellimited.com,+917594377816,86, Park Street,Lucknow,Uttar Pradesh,498050,India,09ABCDE1091ZZ,Net 60,21229106,19508706.01,FMCG,Large,2021-06-23,Active
CUST000111,Godrej Steel Limited,Priya Gupta,priya.gupta@godrejsteellimited.com,+917935147042,45, Park Street,Chandigarh,Punjab,428310,India,03ABCDE1101ZZ,Net 60,5051393,4484831.40,Agriculture,Medium,2018-05-18,Active
CUST000112,L&T Steel Limited,Neha Gupta,neha.gupta@l&tsteellimited.com,+918547514650,67, Park Street,Indore,Madhya Pradesh,457211,India,23ABCDE1111ZZ,Net 30,3465374,2391759.16,Construction,Medium,2022-02-03,Active
CUST000113,ICICI Steel Limited,Pooja Gupta,pooja.gupta@icicisteellimited.com,+918155428907,63, Park Street,Kochi,Kerala,435031,India,32ABCDE1121ZZ,Net 60,7074272,3138776.39,Manufacturing,Medium,2019-10-08,Active
