case_id,customer_id,customer_name,invoice_id,case_open_date,amount_due,days_overdue,priority,status,assigned_to,collector_id,collection_strategy,last_action_date,next_action_date,resolution_date,notes
CASE000026,CUST000025,HDFC Info Limited,INV0000241,2025-03-23,113452.11,31,Medium,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-03-31,2025-05-05,,
CASE000027,CUST000025,HDFC Info Limited,INV0000244,2025-01-16,186870.31,102,Critical,Escalated,Raj Mishra,REP000021,Legal Action Warning,2025-03-14,2025-04-28,,
CASE000028,CUST000025,HDFC Info Limited,INV0000245,2025-01-16,505709.94,103,Critical,In Progress,Amit Gupta,REP000002,Legal Action Warning,2025-03-16,2025-04-21,,
CASE000029,CUST000026,Wipro Info Limited,INV0000253,2025-01-19,840104.60,98,Critical,Escalated,Neha Mishra,REP000032,Legal Action Warning,2025-01-28,2025-04-27,,
CASE000030,CUST000028,Birla Info Limited,INV0000277,2024-12-19,54732.95,126,Critical,Pending Customer,Shalini Mishra,REP000039,Settlement Offer,2025-03-18,2025-04-27,,
CASE000031,CUST000028,Birla Info Limited,INV0000278,2025-04-17,54956.16,14,Low,Open,Sanjay Mishra,REP000027,Standard Follow-up,2025-04-17,2025-04-21,,
CASE000032,CUST000029,Adani Info Limited,INV0000284,2025-01-23,362698.68,91,Critical,Pending Customer,Rakesh Gupta,REP000008,Settlement Offer,2025-02-25,2025-05-04,,
CASE000033,CUST000032,L&T Info Limited,INV0000313,2025-04-01,249595.68,25,Medium,Open,Meena Mishra,REP000037,Standard Follow-up,2025-04-05,2025-04-29,,
CASE000034,CUST000034,SBI Info Limited,INV0000331,2025-02-14,559768.92,69,High,Pending Customer,Rakesh Gupta,REP000008,Payment Plan,2025-03-29,2025-04-19,,
CASE000035,CUST000034,SBI Info Limited,INV0000332,2024-12-04,112349.17,141,Critical,Escalated,Priya Gupta,REP000011,Settlement Offer,2025-03-22,2025-05-03,,
CASE000036,CUST000035,TCS Info Limited,INV0000341,2025-02-09,471879.68,81,High,In Progress,Meena Gupta,REP000017,Intensive Collection,2025-02-19,2025-04-24,,
CASE000037,CUST000035,TCS Info Limited,INV0000344,2025-01-18,66758.60,103,Critical,Escalated,Raj Gupta,REP000001,Legal Action Warning,2025-01-19,2025-05-02,,
CASE000038,CUST000038,Hindustan Info Limited,INV0000372,2025-02-10,1359253.76,73,Critical,Pending Customer,Rahul Gupta,REP000006,Payment Plan,2025-03-04,2025-04-29,,
CASE000039,CUST000038,Hindustan Info Limited,INV0000373,2025-04-04,2261946.28,22,Critical,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-14,2025-04-28,,
CASE000040,CUST000038,Hindustan Info Limited,INV0000374,2025-03-12,2008691.95,46,Critical,Open,Rakesh Gupta,REP000008,Standard Follow-up,2025-03-18,2025-05-02,,
CASE000041,CUST000039,Indian Info Limited,INV0000381,2025-02-08,313370.30,81,High,In Progress,Vijay Gupta,REP000003,Payment Plan,2025-03-23,2025-05-04,,
CASE000042,CUST000040,Tech Info Limited,INV0000395,2025-02-03,965727.08,81,High,Open,Vijay Mishra,REP000023,Intensive Collection,2025-02-23,2025-04-27,,
CASE000043,CUST000041,Tata Auto Limited,INV0000403,2024-12-30,853047.99,116,Critical,In Progress,Anita Mishra,REP000036,Legal Action Warning,2025-04-12,2025-04-22,,
CASE000044,CUST000042,Reliance Auto Limited,INV0000412,2025-03-30,1579894.52,30,Critical,Open,Rahul Gupta,REP000006,Standard Follow-up,2025-04-16,2025-04-26,,
CASE000045,CUST000042,Reliance Auto Limited,INV0000413,2025-04-16,1444548.85,15,Critical,Open,Sunil Gupta,REP000004,Standard Follow-up,2025-04-17,2025-05-08,,
CASE000046,CUST000042,Reliance Auto Limited,INV0000414,2025-03-07,341854.01,54,Medium,Open,Rahul Mishra,REP000026,Standard Follow-up,2025-03-14,2025-05-04,,
CASE000047,CUST000042,Reliance Auto Limited,INV0000416,2025-03-15,1499425.01,48,Critical,Open,Rakesh Gupta,REP000008,Standard Follow-up,2025-03-18,2025-04-26,,
CASE000049,CUST000044,Bharti Auto Limited,INV0000432,2025-02-28,60145.20,56,Medium,In Progress,Sanjay Mishra,REP000027,Standard Follow-up,2025-03-31,2025-04-26,,
CASE000050,CUST000045,HDFC Auto Limited,INV0000441,2025-03-30,350074.44,32,Medium,In Progress,Sanjay Joshi,REP000047,Standard Follow-up,2025-04-13,2025-04-23,,
CASE000051,CUST000045,HDFC Auto Limited,INV0000442,2025-01-19,134497.33,97,Critical,Escalated,Sunita Gupta,REP000015,Settlement Offer,2025-03-06,2025-04-24,,
CASE000052,CUST000046,Wipro Auto Limited,INV0000454,2024-12-16,1055877.20,129,Critical,Escalated,Vijay Joshi,REP000043,Settlement Offer,2025-01-18,2025-04-23,,
CASE000053,CUST000047,Mahindra Auto Limited,INV0000464,2025-01-25,71835.97,93,Critical,Pending Customer,Rahul Mishra,REP000026,Legal Action Warning,2025-03-22,2025-05-08,,
CASE000055,CUST000049,Adani Auto Limited,INV0000481,2025-04-15,57394.16,11,Low,Open,Meena Mishra,REP000037,Standard Follow-up,2025-04-15,2025-05-08,,
CASE000056,CUST000049,Adani Auto Limited,INV0000485,2024-12-17,41925.15,127,Critical,In Progress,Amit Gupta,REP000002,Legal Action Warning,2025-04-17,2025-04-24,,
CASE000057,CUST000050,JSW Auto Limited,INV0000491,2025-01-05,75666.24,113,Critical,Pending Customer,Ashok Joshi,REP000050,Settlement Offer,2025-02-28,2025-04-26,,
CASE000058,CUST000051,Godrej Auto Limited,INV0000502,2025-01-14,24817.85,106,Critical,In Progress,Rajesh Mishra,REP000029,Settlement Offer,2025-03-04,2025-05-06,,
CASE000060,CUST000056,Bajaj Auto Limited,INV0000554,2025-02-10,386881.76,77,High,Pending Customer,Rahul Gupta,REP000006,Intensive Collection,2025-04-11,2025-04-22,,
CASE000061,CUST000056,Bajaj Auto Limited,INV0000556,2025-01-10,134686.30,110,Critical,Escalated,Amit Gupta,REP000002,Legal Action Warning,2025-04-13,2025-05-01,,
CASE000062,CUST000057,HCL Auto Limited,INV0000561,2025-02-04,100896.94,79,High,Open,Geeta Gupta,REP000020,Intensive Collection,2025-03-25,2025-05-04,,
CASE000063,CUST000058,Hindustan Auto Limited,INV0000575,2025-01-22,657531.51,91,Critical,Escalated,Raj Mishra,REP000021,Legal Action Warning,2025-02-12,2025-04-23,,
CASE000064,CUST000059,Indian Auto Limited,INV0000581,2024-12-07,18780.17,137,Critical,Pending Customer,Sanjay Joshi,REP000047,Legal Action Warning,2025-01-02,2025-04-26,,
CASE000065,CUST000059,Indian Auto Limited,INV0000583,2025-03-13,77506.92,42,Medium,Open,Sunil Joshi,REP000044,Standard Follow-up,2025-04-07,2025-05-01,,
CASE000066,CUST000060,Tech Auto Limited,INV0000596,2025-01-31,57359.14,82,High,Pending Customer,Sanjay Gupta,REP000007,Payment Plan,2025-02-16,2025-04-19,,
CASE000067,CUST000060,Tech Auto Limited,INV0000597,2024-12-23,113631.90,123,Critical,In Progress,Rani Gupta,REP000014,Legal Action Warning,2025-02-14,2025-05-08,,
CASE000069,CUST000063,Infosys Fin Limited,INV0000626,2025-02-26,111751.39,65,High,In Progress,Sunil Gupta,REP000004,Payment Plan,2025-03-09,2025-04-27,,
CASE000070,CUST000064,Bharti Fin Limited,INV0000633,2025-04-08,68836.13,23,Low,In Progress,Amit Gupta,REP000002,Standard Follow-up,2025-04-12,2025-04-26,,
CASE000071,CUST000066,Wipro Fin Limited,INV0000657,2025-03-07,500444.49,53,High,In Progress,Rajesh Joshi,REP000049,Standard Follow-up,2025-03-19,2025-05-08,,
CASE000072,CUST000067,Mahindra Fin Limited,INV0000668,2025-01-23,380609.91,99,Critical,Pending Customer,Sanjay Joshi,REP000047,Settlement Offer,2025-03-25,2025-05-03,,
CASE000073,CUST000069,Adani Fin Limited,INV0000682,2025-01-31,2374453.30,88,Critical,In Progress,Anita Gupta,REP000016,Intensive Collection,2025-03-18,2025-05-05,,
CASE000074,CUST000069,Adani Fin Limited,INV0000684,2025-04-08,2443765.18,19,Critical,Open,Pooja Mishra,REP000033,Standard Follow-up,2025-04-16,2025-05-06,,
CASE000075,CUST000069,Adani Fin Limited,INV0000686,2025-01-07,568091.37,107,Critical,Escalated,Rajesh Mishra,REP000029,Settlement Offer,2025-03-10,2025-05-09,,
CASE000076,CUST000070,JSW Fin Limited,INV0000691,2025-02-14,976897.52,68,High,In Progress,Amit Joshi,REP000042,Intensive Collection,2025-02-21,2025-04-24,,
CASE000077,CUST000070,JSW Fin Limited,INV0000695,2025-02-10,1885860.68,78,Critical,Pending Customer,Sunil Gupta,REP000004,Intensive Collection,2025-03-30,2025-05-09,,
CASE000078,CUST000071,Godrej Fin Limited,INV0000704,2025-03-13,655281.54,44,High,Open,Sunil Mishra,REP000024,Standard Follow-up,2025-04-13,2025-05-07,,
CASE000079,CUST000072,L&T Fin Limited,INV0000713,2025-01-08,81847.63,106,Critical,Escalated,Raj Mishra,REP000021,Legal Action Warning,2025-01-13,2025-04-27,,
CASE000080,CUST000073,ICICI Fin Limited,INV0000722,2025-01-15,80918.90,98,Critical,Escalated,Anil Mishra,REP000025,Legal Action Warning,2025-02-01,2025-04-24,,
CASE000081,CUST000073,ICICI Fin Limited,INV0000723,2024-11-16,93029.92,159,Critical,Escalated,Rakesh Gupta,REP000008,Legal Action Warning,2025-01-24,2025-04-22,,
CASE000082,CUST000074,SBI Fin Limited,INV0000732,2025-01-26,908310.29,89,High,Pending Customer,Rahul Mishra,REP000026,Intensive Collection,2025-01-30,2025-04-23,,
CASE000083,CUST000074,SBI Fin Limited,INV0000734,2025-01-20,983793.53,98,Critical,Escalated,Rani Mishra,REP000034,Legal Action Warning,2025-01-30,2025-04-29,,
CASE000084,CUST000076,Bajaj Fin Limited,INV0000751,2024-12-27,578867.66,120,Critical,Escalated,Rahul Gupta,REP000006,Legal Action Warning,2025-01-09,2025-04-27,,
CASE000085,CUST000076,Bajaj Fin Limited,INV0000754,2025-04-16,110735.40,7,Medium,In Progress,Rajesh Mishra,REP000029,Standard Follow-up,2025-04-17,2025-04-28,,
CASE000086,CUST000077,HCL Fin Limited,INV0000762,2025-01-20,504129.60,99,Critical,Escalated,Rahul Gupta,REP000006,Settlement Offer,2025-01-30,2025-04-30,,
CASE000087,CUST000077,HCL Fin Limited,INV0000765,2024-11-25,74610.57,152,Critical,In Progress,Amit Mishra,REP000022,Legal Action Warning,2025-02-15,2025-04-27,,
CASE000088,CUST000079,Indian Fin Limited,INV0000783,2025-03-31,121122.72,27,Medium,Open,Sanjay Gupta,REP000007,Standard Follow-up,2025-04-17,2025-04-25,,
CASE000089,CUST000080,Tech Fin Limited,INV0000792,2025-04-16,104580.55,7,Medium,In Progress,Raj Joshi,REP000041,Standard Follow-up,2025-04-16,2025-04-24,,
CASE000090,CUST000081,Tata Power Limited,INV0000801,2024-11-22,45951.73,158,Critical,In Progress,Neha Gupta,REP000012,Legal Action Warning,2025-02-19,2025-04-22,,
CASE000091,CUST000081,Tata Power Limited,INV0000802,2025-01-26,65313.73,96,Critical,Escalated,Vijay Mishra,REP000023,Legal Action Warning,2025-01-27,2025-05-02,,
CASE000092,CUST000081,Tata Power Limited,INV0000805,2025-04-06,16194.05,25,Low,Open,Rajesh Gupta,REP000009,Standard Follow-up,2025-04-10,2025-04-22,,
CASE000093,CUST000082,Reliance Power Limited,INV0000811,2024-12-29,296713.94,123,Critical,Escalated,Sunita Mishra,REP000035,Legal Action Warning,2025-02-13,2025-05-09,,
CASE000094,CUST000083,Infosys Power Limited,INV0000824,2025-04-17,461131.21,13,Medium,Open,Anil Joshi,REP000045,Standard Follow-up,2025-04-17,2025-04-25,,
CASE000095,CUST000083,Infosys Power Limited,INV0000826,2025-01-09,238258.20,106,Critical,In Progress,Shalini Mishra,REP000039,Settlement Offer,2025-01-23,2025-04-20,,
CASE000096,CUST000083,Infosys Power Limited,INV0000827,2025-03-08,131813.81,48,Medium,In Progress,Raj Gupta,REP000001,Standard Follow-up,2025-03-16,2025-04-22,,
CASE000097,CUST000084,Bharti Power Limited,INV0000831,2025-04-07,42712.65,19,Low,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-12,2025-04-29,,
CASE000098,CUST000084,Bharti Power Limited,INV0000832,2025-04-11,45406.14,20,Low,In Progress,Neha Mishra,REP000032,Standard Follow-up,2025-04-15,2025-04-24,,
CASE000099,CUST000084,Bharti Power Limited,INV0000835,2025-02-20,106795.75,62,High,Open,Neha Gupta,REP000012,Payment Plan,2025-03-17,2025-05-02,,
CASE000100,CUST000086,Wipro Power Limited,INV0000854,2025-01-21,191603.75,99,Critical,Escalated,Raj Mishra,REP000021,Legal Action Warning,2025-02-13,2025-05-04,,
CASE000101,CUST000086,Wipro Power Limited,INV0000855,2025-02-05,395968.93,82,High,In Progress,Rajesh Mishra,REP000029,Payment Plan,2025-03-18,2025-04-24,,
CASE000102,CUST000086,Wipro Power Limited,INV0000856,2024-12-29,121494.07,123,Critical,Pending Customer,Rakesh Joshi,REP000048,Legal Action Warning,2025-03-04,2025-05-03,,
CASE000103,CUST000089,Adani Power Limited,INV0000884,2024-12-10,82379.32,143,Critical,In Progress,Kavita Gupta,REP000018,Legal Action Warning,2025-02-16,2025-05-04,,
CASE000104,CUST000089,Adani Power Limited,INV0000888,2025-04-16,93355.51,15,Low,In Progress,Rahul Mishra,REP000026,Standard Follow-up,2025-04-16,2025-04-19,,
CASE000105,CUST000091,Godrej Power Limited,INV0000903,2025-04-12,111477.22,14,Medium,Open,Raj Joshi,REP000041,Standard Follow-up,2025-04-17,2025-04-25,,
CASE000106,CUST000093,ICICI Power Limited,INV0000922,2025-01-08,1211151.38,113,Critical,Pending Customer,Pooja Mishra,REP000033,Legal Action Warning,2025-01-30,2025-04-25,,
CASE000107,CUST000093,ICICI Power Limited,INV0000925,2025-01-05,1557829.82,109,Critical,Pending Customer,Amit Gupta,REP000002,Legal Action Warning,2025-02-13,2025-05-07,,
CASE000108,CUST000094,SBI Power Limited,INV0000934,2025-02-06,212383.00,79,High,In Progress,Neha Gupta,REP000012,Intensive Collection,2025-02-18,2025-04-26,,
CASE000110,CUST000096,Bajaj Power Limited,INV0000953,2025-04-16,114504.52,11,Medium,Open,Anita Mishra,REP000036,Standard Follow-up,2025-04-17,2025-04-20,,
CASE000111,CUST000096,Bajaj Power Limited,INV0000956,2024-12-12,73075.16,138,Critical,Escalated,Anil Joshi,REP000045,Settlement Offer,2025-04-10,2025-04-28,,
CASE000112,CUST000096,Bajaj Power Limited,INV0000957,2025-02-12,28195.86,73,High,Open,Rahul Mishra,REP000026,Intensive Collection,2025-02-14,2025-04-26,,
CASE000113,CUST000097,HCL Power Limited,INV0000963,2024-12-31,158044.45,115,Critical,Escalated,Rajesh Gupta,REP000009,Legal Action Warning,2025-03-31,2025-04-26,,
CASE000114,CUST000099,Indian Power Limited,INV0000982,2025-02-25,93966.65,63,High,In Progress,Anil Mishra,REP000025,Intensive Collection,2025-04-16,2025-05-04,,
CASE000115,CUST000101,Tata Steel Limited,INV0001001,2024-12-06,36980.87,143,Critical,Escalated,Rakesh Gupta,REP000008,Legal Action Warning,2024-12-21,2025-05-06,,
CASE000116,CUST000101,Tata Steel Limited,INV0001006,2025-04-01,78684.76,28,Low,Open,Geeta Mishra,REP000040,Standard Follow-up,2025-04-07,2025-04-20,,
CASE000117,CUST000102,Reliance Steel Limited,INV0001013,2024-12-13,18457.67,140,Critical,Escalated,Kavita Mishra,REP000038,Settlement Offer,2025-01-17,2025-04-20,,
CASE000118,CUST000104,Bharti Steel Limited,INV0001037,2025-02-01,1665533.30,87,Critical,Open,Ashok Mishra,REP000030,Intensive Collection,2025-03-02,2025-05-02,,
CASE000119,CUST000106,Wipro Steel Limited,INV0001052,2025-02-26,1100471.05,58,Critical,Open,Neha Mishra,REP000032,Standard Follow-up,2025-04-10,2025-04-22,,
CASE000120,CUST000106,Wipro Steel Limited,INV0001054,2025-02-20,892295.66,65,High,Open,Sunita Gupta,REP000015,Payment Plan,2025-03-20,2025-04-20,,
CASE000121,CUST000109,Adani Steel Limited,INV0001084,2025-01-02,79451.65,119,Critical,In Progress,Rakesh Joshi,REP000048,Legal Action Warning,2025-01-08,2025-04-28,,
CASE000122,CUST000111,Godrej Steel Limited,INV0001103,2025-01-17,289234.13,104,Critical,Escalated,Amit Mishra,REP000022,Legal Action Warning,2025-03-04,2025-05-09,,
CASE000123,CUST000111,Godrej Steel Limited,INV0001106,2025-04-01,314053.45,27,Medium,Open,Sunita Mishra,REP000035,Standard Follow-up,2025-04-04,2025-05-05,,
CASE000124,CUST000112,L&T Steel Limited,INV0001112,2025-03-14,441141.47,40,Medium,In Progress,Anita Gupta,REP000016,Standard Follow-up,2025-03-14,2025-05-06,,
CASE000125,CUST000112,L&T Steel Limited,INV0001115,2025-04-13,487747.91,18,Medium,Open,Vijay Joshi,REP000043,Standard Follow-up,2025-04-14,2025-04-23,,
CASE000126,CUST000113,ICICI Steel Limited,INV0001124,2025-01-16,160061.08,103,Critical,In Progress,Raj Joshi,REP000041,Legal Action Warning,2025-02-28,2025-04-24,,
CASE000127,CUST000114,SBI Steel Limited,INV0001135,2025-01-02,392655.23,115,Critical,Pending Customer,Rajesh Mishra,REP000029,Legal Action Warning,2025-04-01,2025-05-04,,
CASE000128,CUST000115,TCS Steel Limited,INV0001143,2025-03-13,50711.77,48,Medium,Open,Pooja Mishra,REP000033,Standard Follow-up,2025-03-19,2025-04-28,,
CASE000129,CUST000115,TCS Steel Limited,INV0001145,2024-12-28,74797.98,120,Critical,Pending Customer,Rahul Joshi,REP000046,Legal Action Warning,2025-03-24,2025-04-26,,
CASE000130,CUST000116,Bajaj Steel Limited,INV0001153,2025-02-05,66512.49,82,High,In Progress,Pooja Mishra,REP000033,Payment Plan,2025-02-12,2025-04-29,,
CASE000131,CUST000116,Bajaj Steel Limited,INV0001154,2025-03-06,68020.46,54,Medium,In Progress,Amit Mishra,REP000022,Standard Follow-up,2025-03-09,2025-04-22,,
CASE000132,CUST000116,Bajaj Steel Limited,INV0001158,2025-02-03,69504.77,80,High,Pending Customer,Rahul Gupta,REP000006,Intensive Collection,2025-03-12,2025-05-03,,
CASE000133,CUST000117,HCL Steel Limited,INV0001162,2025-01-07,378990.20,111,Critical,In Progress,Meena Gupta,REP000017,Legal Action Warning,2025-02-24,2025-05-09,,
CASE000134,CUST000117,HCL Steel Limited,INV0001163,2025-02-04,200036.96,79,High,In Progress,Meena Mishra,REP000037,Intensive Collection,2025-03-14,2025-04-23,,
CASE000135,CUST000118,Hindustan Steel Limited,INV0001176,2024-12-13,553703.91,132,Critical,In Progress,Anil Joshi,REP000045,Legal Action Warning,2025-02-14,2025-04-21,,
CASE000136,CUST000119,Indian Steel Limited,INV0001182,2024-11-30,456435.16,147,Critical,In Progress,Priya Gupta,REP000011,Legal Action Warning,2025-03-23,2025-04-29,,
CASE000137,CUST000120,Tech Steel Limited,INV0001192,2025-01-21,23157.34,96,Critical,Escalated,Sunita Gupta,REP000015,Legal Action Warning,2025-02-19,2025-05-02,,
CASE000139,CUST000120,Tech Steel Limited,INV0001194,2025-02-24,27155.65,60,Medium,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-03-12,2025-04-21,,
CASE000140,CUST000120,Tech Steel Limited,INV0001195,2025-04-04,100217.04,24,Medium,In Progress,Raj Mishra,REP000021,Standard Follow-up,2025-04-17,2025-04-21,,
CASE000141,CUST000121,Tata Textiles Limited,INV0001206,2025-03-01,15691.77,62,High,Pending Customer,Raj Joshi,REP000041,Payment Plan,2025-03-20,2025-04-19,,
CASE000143,CUST000123,Infosys Textiles Limited,INV0001222,2025-01-11,76999.44,102,Critical,Escalated,Amit Gupta,REP000002,Legal Action Warning,2025-03-20,2025-05-04,,
CASE000144,CUST000123,Infosys Textiles Limited,INV0001227,2025-02-19,187486.60,69,High,In Progress,Rani Gupta,REP000014,Payment Plan,2025-03-29,2025-04-25,,
CASE000145,CUST000124,Bharti Textiles Limited,INV0001233,2025-02-26,54166.48,64,High,In Progress,Geeta Mishra,REP000040,Payment Plan,2025-03-17,2025-04-26,,
CASE000146,CUST000124,Bharti Textiles Limited,INV0001237,2025-04-07,22882.32,18,Low,In Progress,Vijay Joshi,REP000043,Standard Follow-up,2025-04-14,2025-05-07,,
CASE000147,CUST000125,HDFC Textiles Limited,INV0001244,2025-02-21,29435.19,63,High,In Progress,Sunil Joshi,REP000044,Payment Plan,2025-03-04,2025-04-28,,
CASE000148,CUST000127,Mahindra Textiles Limited,INV0001261,2024-12-25,93390.30,127,Critical,Escalated,Neha Mishra,REP000032,Legal Action Warning,2025-01-06,2025-05-06,,
CASE000149,CUST000127,Mahindra Textiles Limited,INV0001266,2024-11-13,78573.59,170,Critical,In Progress,Sunita Mishra,REP000035,Legal Action Warning,2025-02-02,2025-04-25,,
CASE000150,CUST000128,Birla Textiles Limited,INV0001275,2024-12-31,391099.39,122,Critical,Pending Customer,Rahul Mishra,REP000026,Legal Action Warning,2025-03-06,2025-05-06,,
CASE000151,CUST000129,Adani Textiles Limited,INV0001286,2025-03-12,1917889.82,46,Critical,In Progress,Rahul Joshi,REP000046,Standard Follow-up,2025-04-07,2025-05-09,,
CASE000152,CUST000129,Adani Textiles Limited,INV0001288,2025-03-27,2033253.56,27,Critical,In Progress,Kavita Mishra,REP000038,Standard Follow-up,2025-03-27,2025-05-01,,
CASE000153,CUST000130,JSW Textiles Limited,INV0001292,2025-04-16,38503.78,8,Low,Open,Shalini Gupta,REP000019,Standard Follow-up,2025-04-17,2025-05-09,,
CASE000154,CUST000130,JSW Textiles Limited,INV0001293,2024-12-31,87654.53,120,Critical,Escalated,Priya Gupta,REP000011,Legal Action Warning,2025-02-27,2025-05-05,,
CASE000155,CUST000130,JSW Textiles Limited,INV0001295,2024-12-15,26893.62,131,Critical,Escalated,Anil Mishra,REP000025,Legal Action Warning,2025-01-08,2025-04-27,,
CASE000156,CUST000131,Godrej Textiles Limited,INV0001301,2025-03-31,103337.76,23,Medium,Open,Sunil Mishra,REP000024,Standard Follow-up,2025-04-14,2025-05-03,,
CASE000157,CUST000131,Godrej Textiles Limited,INV0001302,2025-02-08,96160.15,83,High,In Progress,Amit Mishra,REP000022,Payment Plan,2025-03-24,2025-05-09,,
CASE000158,CUST000131,Godrej Textiles Limited,INV0001307,2025-01-16,77820.47,105,Critical,Pending Customer,Pooja Mishra,REP000033,Legal Action Warning,2025-02-23,2025-04-28,,
CASE000159,CUST000131,Godrej Textiles Limited,INV0001308,2025-01-21,79200.18,100,Critical,In Progress,Raj Gupta,REP000001,Legal Action Warning,2025-04-09,2025-04-30,,
CASE000160,CUST000132,L&T Textiles Limited,INV0001312,2024-12-06,25096.97,145,Critical,In Progress,Meena Gupta,REP000017,Legal Action Warning,2025-01-01,2025-05-01,,
CASE000161,CUST000132,L&T Textiles Limited,INV0001313,2025-02-26,25024.47,58,Medium,Open,Kavita Mishra,REP000038,Standard Follow-up,2025-04-17,2025-04-24,,
CASE000162,CUST000132,L&T Textiles Limited,INV0001317,2025-02-25,88932.82,60,Medium,Open,Vijay Mishra,REP000023,Standard Follow-up,2025-02-27,2025-05-01,,
