interaction_id,customer_id,customer_name,interaction_date,interaction_type,purpose,summary,initiated_by,handled_by,rep_id,related_invoice,outcome,notes
INT0000044,CUST000005,HDFC Tech Limited,2025-04-11,Call,General Inquiry,Shared payment history report,Company,Amit Joshi,REP000042,,Follow-up Required,
INT0000045,CUST000005,HDFC Tech Limited,2025-01-27,Video Call,Collection Call,Explained late payment fees and implications,Company,Sunil Mishra,REP000024,INV0000045,Resolved,
INT0000046,CUST000005,HDFC Tech Limited,2024-12-29,Chat,Collection Call,Discussed payment of overdue invoices,Company,Shalini Gupta,REP000019,INV0000045,Pending,
INT0000051,CUST000006,Wipro Tech Limited,2024-10-17,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Rani Mishra,REP000034,INV0000051,Follow-up Required,
INT0000052,CUST000006,Wipro Tech Limited,2024-10-16,Web Portal,Account Review,Reviewed credit limit and payment history,Company,Ashok Joshi,REP000050,,Resolved,
INT0000053,CUST000006,Wipro Tech Limited,2024-12-10,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Anil Joshi,REP000045,INV0000051,Pending,
INT0000054,CUST000006,Wipro Tech Limited,2024-11-07,Site Visit,Collection Call,Escalated to manager due to payment delays,Company,Amit Mishra,REP000022,INV0000051,Follow-up Required,
INT0000055,CUST000006,Wipro Tech Limited,2024-11-06,Email,General Inquiry,Shared payment history report,Company,Sunita Mishra,REP000035,,Resolved,
INT0000061,CUST000007,Mahindra Tech Limited,2024-10-24,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Ashok Mishra,REP000030,INV0000062,Follow-up Required,
INT0000062,CUST000007,Mahindra Tech Limited,2025-01-11,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Shalini Mishra,REP000039,INV0000063,Resolved,
INT0000063,CUST000007,Mahindra Tech Limited,2025-03-27,Web Portal,Collection Call,Customer confirmed payment has been initiated,Company,Vijay Mishra,REP000023,INV0000062,Pending,
INT0000064,CUST000007,Mahindra Tech Limited,2024-12-19,Meeting,Collection Call,Arranged payment schedule for overdue amounts,Company,Raj Joshi,REP000041,INV0000062,Follow-up Required,
INT0000065,CUST000007,Mahindra Tech Limited,2025-02-22,Email,General Inquiry,Responded to statement request,Company,Anil Mishra,REP000025,,Resolved,
INT0000071,CUST000008,Birla Tech Limited,2024-11-11,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Meena Gupta,REP000017,INV0000072,Follow-up Required,
INT0000072,CUST000008,Birla Tech Limited,2024-11-24,Video Call,Collection Call,Customer confirmed payment has been initiated,Company,Vijay Mishra,REP000023,INV0000072,Resolved,
INT0000073,CUST000008,Birla Tech Limited,2024-12-14,Call,Dispute Resolution,Created credit note for billing error,Company,Rahul Joshi,REP000046,INV0000073,Pending,
INT0000074,CUST000008,Birla Tech Limited,2025-03-11,Email,Collection Call,Left voicemail regarding overdue payment,Company,Priya Gupta,REP000011,INV0000072,Follow-up Required,
INT0000075,CUST000008,Birla Tech Limited,2024-12-25,Meeting,Collection Call,Explained late payment fees and implications,Company,Anil Mishra,REP000025,INV0000072,Resolved,
INT0000081,CUST000009,Adani Tech Limited,2025-04-02,Chat,Collection Call,Left voicemail regarding overdue payment,Company,Amit Joshi,REP000042,INV0000082,Follow-up Required,
INT0000082,CUST000009,Adani Tech Limited,2024-10-21,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Sanjay Joshi,REP000047,INV0000082,Resolved,
INT0000083,CUST000009,Adani Tech Limited,2024-10-28,Chat,Collection Call,Escalated to manager due to payment delays,Company,Raj Joshi,REP000041,INV0000082,Pending,
INT0000084,CUST000009,Adani Tech Limited,2024-11-22,Chat,Collection Call,Customer promised payment by next week,Company,Rajesh Gupta,REP000009,INV0000082,Follow-up Required,
INT0000085,CUST000009,Adani Tech Limited,2024-10-27,Web Portal,Dispute Resolution,Customer reported incorrect billing,Company,Vijay Joshi,REP000043,INV0000087,Resolved,
INT0000091,CUST000010,JSW Tech Limited,2024-11-15,Site Visit,General Inquiry,Explained invoice details,Company,Sanjay Joshi,REP000047,,Follow-up Required,
INT0000101,CUST000011,Godrej Tech Limited,2025-03-17,Meeting,Payment Confirmation,Received confirmation of payment transfer,Customer,Anil Gupta,REP000005,INV0000104,Follow-up Required,
INT0000102,CUST000011,Godrej Tech Limited,2024-11-26,Site Visit,General Inquiry,Provided account balance information,Customer,Priya Gupta,REP000011,,Resolved,
INT0000111,CUST000012,L&T Tech Limited,2025-02-18,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Sunil Mishra,REP000024,INV0000112,Follow-up Required,
INT0000112,CUST000012,L&T Tech Limited,2025-02-28,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Anita Gupta,REP000016,INV0000112,Resolved,
INT0000113,CUST000012,L&T Tech Limited,2025-04-09,Meeting,Dispute Resolution,Customer reported incorrect billing,Company,Sanjay Joshi,REP000047,INV0000113,Pending,
INT0000121,CUST000013,ICICI Tech Limited,2025-04-16,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Raj Mishra,REP000021,INV0000124,Follow-up Required,
INT0000122,CUST000013,ICICI Tech Limited,2025-04-13,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Rajesh Joshi,REP000049,INV0000124,Resolved,
INT0000123,CUST000013,ICICI Tech Limited,2024-11-14,Email,Dispute Resolution,Created credit note for billing error,Customer,Rajesh Mishra,REP000029,INV0000125,Pending,
INT0000124,CUST000013,ICICI Tech Limited,2024-11-28,Email,General Inquiry,Responded to statement request,Company,Meena Gupta,REP000017,,Follow-up Required,
INT0000125,CUST000013,ICICI Tech Limited,2024-12-10,Video Call,Collection Call,Explained late payment fees and implications,Company,Rakesh Mishra,REP000028,INV0000124,Resolved,
INT0000131,CUST000014,SBI Tech Limited,2025-03-04,Web Portal,Account Review,Negotiated new payment terms,Company,Neha Gupta,REP000012,,Follow-up Required,
INT0000132,CUST000014,SBI Tech Limited,2025-02-04,Web Portal,Collection Call,Customer promised payment by next week,Company,Pooja Gupta,REP000013,INV0000136,Resolved,
INT0000133,CUST000014,SBI Tech Limited,2025-01-02,Video Call,Collection Call,Customer disputed invoice amount,Company,Rahul Gupta,REP000006,INV0000133,Pending,
INT0000134,CUST000014,SBI Tech Limited,2025-03-03,Meeting,Collection Call,Escalated to manager due to payment delays,Company,Meena Mishra,REP000037,INV0000136,Follow-up Required,
INT0000135,CUST000014,SBI Tech Limited,2024-11-17,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Rakesh Mishra,REP000028,INV0000133,Resolved,
INT0000136,CUST000014,SBI Tech Limited,2024-11-19,Meeting,Collection Call,Customer disputed invoice amount,Company,Sanjay Mishra,REP000027,INV0000133,Pending,
INT0000137,CUST000014,SBI Tech Limited,2024-12-10,Call,Collection Call,Discussed payment of overdue invoices,Company,Meena Mishra,REP000037,INV0000131,Follow-up Required,
INT0000138,CUST000014,SBI Tech Limited,2025-02-03,Call,Account Review,Reviewed credit limit and payment history,Company,Sunil Mishra,REP000024,,Resolved,
INT0000141,CUST000015,TCS Tech Limited,2025-04-05,Chat,Collection Call,Discussed payment of overdue invoices,Company,Amit Mishra,REP000022,INV0000142,Follow-up Required,
INT0000142,CUST000015,TCS Tech Limited,2024-11-07,Meeting,Collection Call,Explained late payment fees and implications,Company,Neha Mishra,REP000032,INV0000142,Resolved,
INT0000143,CUST000015,TCS Tech Limited,2024-12-11,Meeting,Collection Call,Customer disputed invoice amount,Company,Kavita Mishra,REP000038,INV0000142,Pending,
INT0000151,CUST000016,Bajaj Tech Limited,2024-10-22,Video Call,Payment Confirmation,Resolved payment allocation discrepancy,Company,Rani Gupta,REP000014,INV0000151,Follow-up Required,
INT0000161,CUST000017,HCL Tech Limited,2025-03-04,Meeting,Payment Confirmation,Confirmed check has been processed,Customer,Sunita Gupta,REP000015,INV0000163,Follow-up Required,
INT0000162,CUST000017,HCL Tech Limited,2024-10-13,Web Portal,Account Review,Updated customer contact information,Company,Sanjay Gupta,REP000007,,Resolved,
INT0000163,CUST000017,HCL Tech Limited,2025-01-28,Video Call,Account Review,Addressed concerns about recent shipments,Company,Meena Mishra,REP000037,,Pending,
INT0000171,CUST000018,Hindustan Tech Limited,2025-02-18,Email,Payment Confirmation,Received confirmation of payment transfer,Company,Amit Gupta,REP000002,INV0000174,Follow-up Required,
INT0000181,CUST000019,Indian Tech Limited,2024-11-15,Email,Collection Call,Escalated to manager due to payment delays,Company,Geeta Gupta,REP000020,INV0000182,Follow-up Required,
INT0000182,CUST000019,Indian Tech Limited,2024-10-16,Web Portal,Collection Call,Discussed payment of overdue invoices,Company,Amit Gupta,REP000002,INV0000182,Resolved,
INT0000183,CUST000019,Indian Tech Limited,2024-12-17,Call,General Inquiry,Answered questions about payment methods,Company,Geeta Gupta,REP000020,,Pending,
INT0000184,CUST000019,Indian Tech Limited,2025-03-26,Site Visit,Account Review,Quarterly account review meeting,Company,Kavita Gupta,REP000018,,Follow-up Required,
INT0000185,CUST000019,Indian Tech Limited,2025-04-10,Video Call,Collection Call,Explained late payment fees and implications,Company,Geeta Gupta,REP000020,INV0000181,Resolved,
INT0000186,CUST000019,Indian Tech Limited,2025-03-03,Chat,Collection Call,Discussed payment of overdue invoices,Company,Meena Mishra,REP000037,INV0000182,Pending,
INT0000187,CUST000019,Indian Tech Limited,2024-10-04,Call,Collection Call,Discussed payment of overdue invoices,Company,Pooja Gupta,REP000013,INV0000181,Follow-up Required,
INT0000191,CUST000020,Tech Tech Limited,2025-03-04,Web Portal,Account Review,Updated customer contact information,Company,Anil Gupta,REP000005,,Follow-up Required,
INT0000192,CUST000020,Tech Tech Limited,2025-01-10,Meeting,Dispute Resolution,Created credit note for billing error,Company,Vijay Mishra,REP000023,INV0000192,Resolved,
INT0000201,CUST000021,Tata Info Limited,2025-01-01,Site Visit,Account Review,Updated customer contact information,Company,Anil Joshi,REP000045,,Follow-up Required,
INT0000202,CUST000021,Tata Info Limited,2025-02-23,Web Portal,Collection Call,Discussed payment of overdue invoices,Company,Anita Mishra,REP000036,INV0000201,Resolved,
INT0000203,CUST000021,Tata Info Limited,2024-11-27,Email,Collection Call,Left voicemail regarding overdue payment,Company,Rakesh Gupta,REP000008,INV0000201,Pending,
INT0000211,CUST000022,Reliance Info Limited,2024-10-05,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Anita Mishra,REP000036,INV0000212,Follow-up Required,
INT0000212,CUST000022,Reliance Info Limited,2025-01-13,Chat,Payment Confirmation,Verified payment receipt for invoice,Company,Amit Gupta,REP000002,INV0000217,Resolved,
INT0000213,CUST000022,Reliance Info Limited,2024-12-12,Video Call,Collection Call,Customer disputed invoice amount,Company,Meena Mishra,REP000037,INV0000215,Pending,
INT0000214,CUST000022,Reliance Info Limited,2025-04-07,Chat,Payment Confirmation,Updated records with new payment details,Company,Raj Gupta,REP000001,INV0000215,Follow-up Required,
INT0000215,CUST000022,Reliance Info Limited,2024-10-19,Site Visit,Collection Call,Left voicemail regarding overdue payment,Company,Rahul Mishra,REP000026,INV0000212,Resolved,
INT0000216,CUST000022,Reliance Info Limited,2024-11-27,Email,Account Review,Updated customer contact information,Company,Kavita Gupta,REP000018,,Pending,
INT0000217,CUST000022,Reliance Info Limited,2024-12-19,Meeting,Collection Call,Left voicemail regarding overdue payment,Company,Sunil Gupta,REP000004,INV0000217,Follow-up Required,
INT0000218,CUST000022,Reliance Info Limited,2024-11-12,Call,Collection Call,Explained late payment fees and implications,Company,Priya Gupta,REP000011,INV0000212,Resolved,
INT0000221,CUST000023,Infosys Info Limited,2025-02-02,Chat,Collection Call,Customer promised payment by next week,Company,Sunita Mishra,REP000035,INV0000222,Follow-up Required,
INT0000222,CUST000023,Infosys Info Limited,2025-01-30,Call,Collection Call,Customer promised payment by next week,Company,Sunita Gupta,REP000015,INV0000222,Resolved,
INT0000223,CUST000023,Infosys Info Limited,2025-02-08,Email,Collection Call,Escalated to manager due to payment delays,Company,Anita Gupta,REP000016,INV0000222,Pending,
INT0000224,CUST000023,Infosys Info Limited,2024-12-28,Chat,Collection Call,Explained late payment fees and implications,Company,Sanjay Gupta,REP000007,INV0000222,Follow-up Required,
INT0000225,CUST000023,Infosys Info Limited,2024-10-05,Email,Account Review,Updated customer contact information,Company,Pooja Mishra,REP000033,,Resolved,
INT0000231,CUST000024,Bharti Info Limited,2024-10-08,Chat,General Inquiry,Shared payment history report,Customer,Sunil Joshi,REP000044,,Follow-up Required,
INT0000232,CUST000024,Bharti Info Limited,2025-04-06,Chat,General Inquiry,Shared payment history report,Company,Ashok Gupta,REP000010,,Resolved,
INT0000241,CUST000025,HDFC Info Limited,2024-10-16,Chat,Account Review,Reviewed credit limit and payment history,Company,Rahul Mishra,REP000026,,Follow-up Required,
INT0000242,CUST000025,HDFC Info Limited,2025-01-23,Meeting,Payment Confirmation,Received confirmation of payment transfer,Customer,Ashok Gupta,REP000010,INV0000245,Resolved,
INT0000243,CUST000025,HDFC Info Limited,2025-02-11,Web Portal,Collection Call,Discussed payment of overdue invoices,Company,Sunil Mishra,REP000024,INV0000241,Pending,
INT0000244,CUST000025,HDFC Info Limited,2024-10-30,Meeting,Account Review,Updated customer contact information,Company,Neha Mishra,REP000032,,Follow-up Required,
INT0000245,CUST000025,HDFC Info Limited,2025-02-04,Video Call,Dispute Resolution,Discussed quality issues with recent shipment,Company,Pooja Mishra,REP000033,INV0000243,Resolved,
INT0000246,CUST000025,HDFC Info Limited,2024-11-10,Chat,Payment Confirmation,Received confirmation of payment transfer,Company,Rakesh Gupta,REP000008,INV0000245,Pending,
INT0000247,CUST000025,HDFC Info Limited,2024-10-09,Chat,Collection Call,Escalated to manager due to payment delays,Company,Vijay Gupta,REP000003,INV0000244,Follow-up Required,
INT0000248,CUST000025,HDFC Info Limited,2024-12-08,Web Portal,General Inquiry,Answered questions about payment methods,Company,Rahul Mishra,REP000026,,Resolved,
INT0000251,CUST000026,Wipro Info Limited,2025-02-11,Chat,Dispute Resolution,Processing refund for returned items,Customer,Sanjay Mishra,REP000027,INV0000251,Follow-up Required,
INT0000252,CUST000026,Wipro Info Limited,2025-01-03,Email,Collection Call,Discussed payment of overdue invoices,Company,Rajesh Joshi,REP000049,INV0000253,Resolved,
INT0000253,CUST000026,Wipro Info Limited,2024-12-15,Video Call,Payment Confirmation,Received confirmation of payment transfer,Company,Ashok Gupta,REP000010,INV0000252,Pending,
INT0000254,CUST000026,Wipro Info Limited,2025-03-23,Call,Collection Call,Discussed payment of overdue invoices,Company,Amit Mishra,REP000022,INV0000253,Follow-up Required,
INT0000255,CUST000026,Wipro Info Limited,2025-02-15,Site Visit,Collection Call,Discussed payment of overdue invoices,Company,Rahul Mishra,REP000026,INV0000253,Resolved,
INT0000261,CUST000027,Mahindra Info Limited,2025-03-12,Chat,General Inquiry,Answered questions about payment methods,Customer,Sunil Gupta,REP000004,,Follow-up Required,
INT0000262,CUST000027,Mahindra Info Limited,2024-12-22,Chat,Payment Confirmation,Confirmed check has been processed,Customer,Vijay Joshi,REP000043,INV0000262,Resolved,
INT0000263,CUST000027,Mahindra Info Limited,2025-04-12,Web Portal,General Inquiry,Shared payment history report,Company,Raj Gupta,REP000001,,Pending,
INT0000271,CUST000028,Birla Info Limited,2024-10-08,Call,General Inquiry,Responded to statement request,Company,Raj Joshi,REP000041,,Follow-up Required,
INT0000272,CUST000028,Birla Info Limited,2025-01-23,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Rahul Mishra,REP000026,INV0000277,Resolved,
INT0000273,CUST000028,Birla Info Limited,2025-01-01,Site Visit,General Inquiry,Provided account balance information,Company,Vijay Mishra,REP000023,,Pending,
INT0000274,CUST000028,Birla Info Limited,2024-10-02,Video Call,Collection Call,Escalated to manager due to payment delays,Company,Rani Mishra,REP000034,INV0000277,Follow-up Required,
INT0000275,CUST000028,Birla Info Limited,2024-11-16,Site Visit,Payment Confirmation,Updated records with new payment details,Company,Amit Gupta,REP000002,INV0000276,Resolved,
INT0000276,CUST000028,Birla Info Limited,2024-10-08,Email,Collection Call,Customer promised payment by next week,Company,Anil Joshi,REP000045,INV0000277,Pending,
INT0000281,CUST000029,Adani Info Limited,2024-10-07,Video Call,Collection Call,Customer promised payment by next week,Company,Rakesh Mishra,REP000028,INV0000284,Follow-up Required,
INT0000282,CUST000029,Adani Info Limited,2024-11-30,Video Call,Collection Call,Customer disputed invoice amount,Company,Raj Joshi,REP000041,INV0000284,Resolved,
INT0000283,CUST000029,Adani Info Limited,2024-12-25,Video Call,Collection Call,Customer disputed invoice amount,Company,Ashok Gupta,REP000010,INV0000284,Pending,
INT0000284,CUST000029,Adani Info Limited,2025-02-07,Email,Payment Confirmation,Confirmed check has been processed,Company,Rakesh Gupta,REP000008,INV0000286,Follow-up Required,
INT0000291,CUST000030,JSW Info Limited,2025-02-27,Site Visit,General Inquiry,Responded to statement request,Customer,Sunil Mishra,REP000024,,Follow-up Required,
INT0000292,CUST000030,JSW Info Limited,2024-11-20,Video Call,General Inquiry,Provided account balance information,Customer,Rahul Mishra,REP000026,,Resolved,
INT0000293,CUST000030,JSW Info Limited,2024-11-01,Call,Account Review,Addressed concerns about recent shipments,Company,Ashok Joshi,REP000050,,Pending,
INT0000301,CUST000031,Godrej Info Limited,2024-10-22,Web Portal,Account Review,Discussed upcoming orders and payment terms,Company,Anita Gupta,REP000016,,Follow-up Required,
INT0000302,CUST000031,Godrej Info Limited,2024-12-02,Site Visit,Payment Confirmation,Confirmed check has been processed,Company,Anita Mishra,REP000036,INV0000305,Resolved,
INT0000303,CUST000031,Godrej Info Limited,2025-01-31,Video Call,Account Review,Updated customer contact information,Company,Priya Gupta,REP000011,,Pending,
INT0000311,CUST000032,L&T Info Limited,2025-03-13,Chat,Payment Confirmation,Received confirmation of payment transfer,Customer,Raj Joshi,REP000041,INV0000315,Follow-up Required,
INT0000312,CUST000032,L&T Info Limited,2025-02-13,Video Call,General Inquiry,Provided account balance information,Company,Shalini Mishra,REP000039,,Resolved,
INT0000313,CUST000032,L&T Info Limited,2024-12-24,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Ashok Mishra,REP000030,INV0000313,Pending,
INT0000321,CUST000033,ICICI Info Limited,2025-03-12,Chat,Payment Confirmation,Received confirmation of payment transfer,Company,Rani Mishra,REP000034,INV0000325,Follow-up Required,
INT0000331,CUST000034,SBI Info Limited,2024-10-15,Chat,Dispute Resolution,Customer reported incorrect billing,Company,Vijay Joshi,REP000043,INV0000332,Follow-up Required,
INT0000332,CUST000034,SBI Info Limited,2024-11-01,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Neha Gupta,REP000012,INV0000331,Resolved,
INT0000333,CUST000034,SBI Info Limited,2024-12-04,Call,Account Review,Quarterly account review meeting,Company,Vijay Joshi,REP000043,,Pending,
INT0000334,CUST000034,SBI Info Limited,2025-02-25,Web Portal,Collection Call,Explained late payment fees and implications,Company,Rakesh Mishra,REP000028,INV0000331,Follow-up Required,
INT0000335,CUST000034,SBI Info Limited,2024-10-17,Email,Collection Call,Customer disputed invoice amount,Company,Vijay Gupta,REP000003,INV0000332,Resolved,
INT0000341,CUST000035,TCS Info Limited,2025-02-26,Chat,Collection Call,Explained late payment fees and implications,Company,Sanjay Gupta,REP000007,INV0000344,Follow-up Required,
INT0000342,CUST000035,TCS Info Limited,2024-11-13,Email,Collection Call,Left voicemail regarding overdue payment,Company,Anil Gupta,REP000005,INV0000341,Resolved,
INT0000343,CUST000035,TCS Info Limited,2025-03-08,Video Call,Collection Call,Customer disputed invoice amount,Company,Sunil Gupta,REP000004,INV0000341,Pending,
INT0000344,CUST000035,TCS Info Limited,2025-02-14,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Sanjay Joshi,REP000047,INV0000344,Follow-up Required,
INT0000345,CUST000035,TCS Info Limited,2025-01-09,Video Call,Collection Call,Customer disputed invoice amount,Company,Raj Gupta,REP000001,INV0000341,Resolved,
INT0000346,CUST000035,TCS Info Limited,2025-01-18,Site Visit,Collection Call,Escalated to manager due to payment delays,Company,Meena Mishra,REP000037,INV0000341,Pending,
INT0000351,CUST000036,Bajaj Info Limited,2025-01-11,Chat,Payment Confirmation,Reconciled payment with outstanding invoices,Company,Rakesh Mishra,REP000028,INV0000352,Follow-up Required,
INT0000361,CUST000037,HCL Info Limited,2024-12-24,Meeting,Account Review,Discussed upcoming orders and payment terms,Company,Sunil Mishra,REP000024,,Follow-up Required,
INT0000362,CUST000037,HCL Info Limited,2025-02-11,Video Call,Dispute Resolution,Processing refund for returned items,Customer,Anita Gupta,REP000016,INV0000362,Resolved,
INT0000363,CUST000037,HCL Info Limited,2025-03-20,Chat,Payment Confirmation,Resolved payment allocation discrepancy,Customer,Anita Gupta,REP000016,INV0000363,Pending,
INT0000371,CUST000038,Hindustan Info Limited,2025-04-01,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Sunil Mishra,REP000024,INV0000374,Follow-up Required,
INT0000372,CUST000038,Hindustan Info Limited,2025-02-27,Site Visit,Account Review,Discussed upcoming orders and payment terms,Company,Kavita Mishra,REP000038,,Resolved,
INT0000373,CUST000038,Hindustan Info Limited,2024-12-15,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Amit Mishra,REP000022,INV0000374,Pending,
INT0000374,CUST000038,Hindustan Info Limited,2024-12-30,Meeting,Collection Call,Customer disputed invoice amount,Company,Rakesh Gupta,REP000008,INV0000374,Follow-up Required,
INT0000375,CUST000038,Hindustan Info Limited,2025-01-05,Chat,Collection Call,Escalated to manager due to payment delays,Company,Vijay Mishra,REP000023,INV0000373,Resolved,
INT0000376,CUST000038,Hindustan Info Limited,2024-11-25,Email,Collection Call,Customer disputed invoice amount,Company,Kavita Mishra,REP000038,INV0000372,Pending,
INT0000377,CUST000038,Hindustan Info Limited,2025-04-08,Chat,Collection Call,Discussed payment of overdue invoices,Company,Anita Gupta,REP000016,INV0000373,Follow-up Required,
INT0000378,CUST000038,Hindustan Info Limited,2025-03-25,Video Call,Collection Call,Customer promised payment by next week,Company,Rahul Mishra,REP000026,INV0000373,Resolved,
INT0000381,CUST000039,Indian Info Limited,2025-01-13,Video Call,Collection Call,Customer confirmed payment has been initiated,Company,Anil Gupta,REP000005,INV0000381,Follow-up Required,
INT0000382,CUST000039,Indian Info Limited,2024-10-26,Site Visit,Collection Call,Explained late payment fees and implications,Company,Rakesh Joshi,REP000048,INV0000381,Resolved,
INT0000383,CUST000039,Indian Info Limited,2025-03-28,Email,Account Review,Quarterly account review meeting,Company,Anita Gupta,REP000016,,Pending,
INT0000391,CUST000040,Tech Info Limited,2025-04-08,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Amit Mishra,REP000022,INV0000395,Follow-up Required,
INT0000392,CUST000040,Tech Info Limited,2025-04-06,Meeting,Collection Call,Customer confirmed payment has been initiated,Company,Rakesh Joshi,REP000048,INV0000395,Resolved,
INT0000393,CUST000040,Tech Info Limited,2025-03-03,Call,Collection Call,Discussed payment of overdue invoices,Company,Raj Gupta,REP000001,INV0000395,Pending,
INT0000394,CUST000040,Tech Info Limited,2024-10-11,Video Call,Collection Call,Discussed payment of overdue invoices,Company,Rahul Mishra,REP000026,INV0000395,Follow-up Required,
INT0000401,CUST000041,Tata Auto Limited,2025-02-10,Video Call,General Inquiry,Explained invoice details,Customer,Rakesh Mishra,REP000028,,Follow-up Required,
INT0000402,CUST000041,Tata Auto Limited,2025-02-09,Email,Collection Call,Arranged payment schedule for overdue amounts,Company,Vijay Joshi,REP000043,INV0000403,Resolved,
INT0000403,CUST000041,Tata Auto Limited,2025-03-22,Web Portal,Account Review,Discussed upcoming orders and payment terms,Company,Rahul Mishra,REP000026,,Pending,
INT0000404,CUST000041,Tata Auto Limited,2024-10-01,Web Portal,Collection Call,Left voicemail regarding overdue payment,Company,Ashok Mishra,REP000030,INV0000403,Follow-up Required,
INT0000405,CUST000041,Tata Auto Limited,2024-11-17,Email,Collection Call,Customer confirmed payment has been initiated,Company,Raj Gupta,REP000001,INV0000403,Resolved,
INT0000411,CUST000042,Reliance Auto Limited,2025-01-12,Email,Collection Call,Customer confirmed payment has been initiated,Company,Anita Gupta,REP000016,INV0000416,Follow-up Required,
INT0000412,CUST000042,Reliance Auto Limited,2024-11-03,Email,Dispute Resolution,Customer reported incorrect billing,Company,Rajesh Joshi,REP000049,INV0000412,Resolved,
INT0000413,CUST000042,Reliance Auto Limited,2024-10-24,Call,Collection Call,Explained late payment fees and implications,Company,Rani Gupta,REP000014,INV0000417,Pending,
